     #Energy       W_all      Mo_all      Ti_all      Rh_all
   -73.93173   179.94298     0.00526     0.00002     0.00013
   -73.92073  2127.83228     0.05389     0.00162     0.00555
   -73.90973    69.15726     0.00173     0.00005     0.00018
   -73.89873     0.00000     0.00000     0.00000     0.00000
   -73.88773     0.00000     0.00000     0.00000     0.00000
   -73.87673   180.01678     0.00490     0.00055     0.00062
   -73.86573   180.02050     0.00439     0.00060     0.00042
   -73.85473   180.01627     0.00738     0.00064     0.00008
   -73.84373     0.00000     0.00000     0.00000     0.00000
   -73.83273   179.94319     0.00794     0.00037     0.00004
   -73.82173     0.00000     0.00000     0.00000     0.00000
   -73.80973     0.00000     0.00000     0.00000     0.00000
   -73.79873     0.00000     0.00000     0.00000     0.00000
   -73.78773     0.00000     0.00000     0.00000     0.00000
   -73.77673     0.00000     0.00000     0.00000     0.00000
   -73.76573     0.00000     0.00000     0.00000     0.00000
   -73.75473     0.00000     0.00000     0.00000     0.00000
   -73.74373     0.00000     0.00000     0.00000     0.00000
   -73.73273     0.00000     0.00000     0.00000     0.00000
   -73.72173     0.00000     0.00000     0.00000     0.00000
   -73.71073     0.00000     0.00000     0.00000     0.00000
   -73.69973     0.00000     0.00000     0.00000     0.00000
   -73.68873     0.00000     0.00000     0.00000     0.00000
   -73.67673     0.00000     0.00000     0.00000     0.00000
   -73.66573     0.00000     0.00000     0.00000     0.00000
   -73.65473   179.96814     0.00790     0.00103     0.00009
   -73.64373     0.00000     0.00000     0.00000     0.00000
   -73.63273     0.00000     0.00000     0.00000     0.00000
   -73.62173     0.00000     0.00000     0.00000     0.00000
   -73.61073     0.00000     0.00000     0.00000     0.00000
   -73.59973     0.00000     0.00000     0.00000     0.00000
   -73.58873     0.00000     0.00000     0.00000     0.00000
   -73.57773     0.00000     0.00000     0.00000     0.00000
   -73.56673     0.00000     0.00000     0.00000     0.00000
   -73.55473     0.00000     0.00000     0.00000     0.00000
   -73.54373     0.00000     0.00000     0.00000     0.00000
   -73.53273     0.00000     0.00000     0.00000     0.00000
   -73.52173     0.00000     0.00000     0.00000     0.00000
   -73.51073     0.00000     0.00000     0.00000     0.00000
   -73.49973     0.00000     0.00000     0.00000     0.00000
   -73.48873     0.00000     0.00000     0.00000     0.00000
   -73.47773     0.00000     0.00000     0.00000     0.00000
   -73.46673     0.00000     0.00000     0.00000     0.00000
   -73.45573     0.00000     0.00000     0.00000     0.00000
   -73.44473     0.00000     0.00000     0.00000     0.00000
   -73.43273     0.00000     0.00000     0.00000     0.00000
   -73.42173     0.00000     0.00000     0.00000     0.00000
   -73.41073     0.00000     0.00000     0.00000     0.00000
   -73.39973     0.00000     0.00000     0.00000     0.00000
   -73.38873     0.00000     0.00000     0.00000     0.00000
   -73.37773     0.00000     0.00000     0.00000     0.00000
   -73.36673     0.00000     0.00000     0.00000     0.00000
   -73.35573     0.00000     0.00000     0.00000     0.00000
   -73.34473     0.00000     0.00000     0.00000     0.00000
   -73.33373     0.00000     0.00000     0.00000     0.00000
   -73.32273     0.00000     0.00000     0.00000     0.00000
   -73.31173     0.00000     0.00000     0.00000     0.00000
   -73.29973     0.00000     0.00000     0.00000     0.00000
   -73.28873     0.00000     0.00000     0.00000     0.00000
   -73.27773     0.00000     0.00000     0.00000     0.00000
   -73.26673     0.00000     0.00000     0.00000     0.00000
   -73.25573     0.00000     0.00000     0.00000     0.00000
   -73.24473     0.00000     0.00000     0.00000     0.00000
   -73.23373     0.00000     0.00000     0.00000     0.00000
   -73.22273     0.00000     0.00000     0.00000     0.00000
   -73.21173     0.00000     0.00000     0.00000     0.00000
   -73.20073     0.00000     0.00000     0.00000     0.00000
   -73.18973     0.00000     0.00000     0.00000     0.00000
   -73.17773     0.00000     0.00000     0.00000     0.00000
   -73.16673     0.00000     0.00000     0.00000     0.00000
   -73.15573     0.00000     0.00000     0.00000     0.00000
   -73.14473     0.00000     0.00000     0.00000     0.00000
   -73.13373     0.00000     0.00000     0.00000     0.00000
   -73.12273     0.00000     0.00000     0.00000     0.00000
   -73.11173     0.00000     0.00000     0.00000     0.00000
   -73.10073     0.00000     0.00000     0.00000     0.00000
   -73.08973     0.00000     0.00000     0.00000     0.00000
   -73.07873     0.00000     0.00000     0.00000     0.00000
   -73.06773     0.00000     0.00000     0.00000     0.00000
   -73.05573     0.00000     0.00000     0.00000     0.00000
   -73.04473     0.00000     0.00000     0.00000     0.00000
   -73.03373     0.00000     0.00000     0.00000     0.00000
   -73.02273     0.00000     0.00000     0.00000     0.00000
   -73.01173     0.00000     0.00000     0.00000     0.00000
   -73.00073     0.00000     0.00000     0.00000     0.00000
   -72.98973     0.00000     0.00000     0.00000     0.00000
   -72.97873     0.00000     0.00000     0.00000     0.00000
   -72.96773     0.00000     0.00000     0.00000     0.00000
   -72.95673     0.00000     0.00000     0.00000     0.00000
   -72.94573     0.00000     0.00000     0.00000     0.00000
   -72.93473     0.00000     0.00000     0.00000     0.00000
   -72.92273     0.00000     0.00000     0.00000     0.00000
   -72.91173     0.00000     0.00000     0.00000     0.00000
   -72.90073     0.00000     0.00000     0.00000     0.00000
   -72.88973     0.00000     0.00000     0.00000     0.00000
   -72.87873     0.00000     0.00000     0.00000     0.00000
   -72.86773     0.00000     0.00000     0.00000     0.00000
   -72.85673     0.00000     0.00000     0.00000     0.00000
   -72.84573     0.00000     0.00000     0.00000     0.00000
   -72.83473     0.00000     0.00000     0.00000     0.00000
   -72.82373     0.00000     0.00000     0.00000     0.00000
   -72.81273     0.00000     0.00000     0.00000     0.00000
   -72.80073     0.00000     0.00000     0.00000     0.00000
   -72.78973     0.00000     0.00000     0.00000     0.00000
   -72.77873     0.00000     0.00000     0.00000     0.00000
   -72.76773     0.00000     0.00000     0.00000     0.00000
