     #Energy       W_all      Mo_all      Ti_all      Os_all
   -74.61048     0.00000     0.00000     0.00000     0.00000
   -74.59948     0.00000     0.00000     0.00000     0.00000
   -74.58848     0.00000     0.00000     0.00000     0.00000
   -74.57748     0.00000     0.00000     0.00000     0.00000
   -74.56748     0.00000     0.00000     0.00000     0.00000
   -74.55648     0.00000     0.00000     0.00000     0.00000
   -74.54548     0.00000     0.00000     0.00000     0.00000
   -74.53548     0.00000     0.00000     0.00000     0.00000
   -74.52448     0.00000     0.00000     0.00000     0.00000
   -74.51348     0.00000     0.00000     0.00000     0.00000
   -74.50348     0.00000     0.00000     0.00000     0.00000
   -74.49248     0.00000     0.00000     0.00000     0.00000
   -74.48148     0.00000     0.00000     0.00000     0.00000
   -74.47048     0.00000     0.00000     0.00000     0.00000
   -74.46048     0.00000     0.00000     0.00000     0.00000
   -74.44948     0.00000     0.00000     0.00000     0.00000
   -74.43848     0.00000     0.00000     0.00000     0.00000
   -74.42848   186.43891     0.00421     0.00000     0.02044
   -74.41748     0.00000     0.00000     0.00000     0.00000
   -74.40648     0.00000     0.00000     0.00000     0.00000
   -74.39648     0.00000     0.00000     0.00000     0.00000
   -74.38548   186.41846     0.00839     0.00000     0.01753
   -74.37448     0.00000     0.00000     0.00000     0.00000
   -74.36348     0.00000     0.00000     0.00000     0.00000
   -74.35348     0.00000     0.00000     0.00000     0.00000
   -74.34248     0.00000     0.00000     0.00000     0.00000
   -74.33148     0.00000     0.00000     0.00000     0.00000
   -74.32148   186.39193     0.00431     0.00000     0.01067
   -74.31048   186.46741     0.00536     0.00000     0.00720
   -74.29948     0.00000     0.00000     0.00000     0.00000
   -74.28948     0.00000     0.00000     0.00000     0.00000
   -74.27848     0.00000     0.00000     0.00000     0.00000
   -74.26748     0.00000     0.00000     0.00000     0.00000
   -74.25648     0.00000     0.00000     0.00000     0.00000
   -74.24648   186.42320     0.00431     0.00003     0.00718
   -74.23548     0.00000     0.00000     0.00000     0.00000
   -74.22448   186.40504     0.00634     0.00001     0.00752
   -74.21448     0.00000     0.00000     0.00000     0.00000
   -74.20348     0.00000     0.00000     0.00000     0.00000
   -74.19248     0.00000     0.00000     0.00000     0.00000
   -74.18248   186.46510     0.00361     0.00001     0.00281
   -74.17148     0.00000     0.00000     0.00000     0.00000
   -74.16048   186.45053     0.01192     0.00006     0.00374
   -74.14948     0.00000     0.00000     0.00000     0.00000
   -74.13948     0.00000     0.00000     0.00000     0.00000
   -74.12848   186.49779     0.00950     0.00000     0.00453
   -74.11748   186.44857     0.00412     0.00004     0.00481
   -74.10748   186.47607     0.00516     0.00050     0.00605
   -74.09648     0.00000     0.00000     0.00000     0.00000
   -74.08548     0.00000     0.00000     0.00000     0.00000
   -74.07548   186.50550     0.00440     0.00030     0.00490
   -74.06448   186.51047     0.00360     0.00067     0.00669
   -74.05348   186.44878     0.00447     0.00002     0.00088
   -74.04248     0.00000     0.00000     0.00000     0.00000
   -74.03248     0.00000     0.00000     0.00000     0.00000
   -74.02148     0.00000     0.00000     0.00000     0.00000
   -74.01048   186.53182     0.00485     0.00003     0.00039
   -74.00048   186.41247     0.00936     0.00029     0.00112
   -73.98948     0.00000     0.00000     0.00000     0.00000
   -73.97848     0.00000     0.00000     0.00000     0.00000
   -73.96848   186.50263     0.00208     0.00063     0.00589
   -73.95748   186.52927     0.00571     0.00078     0.00427
   -73.94648   186.50570     0.00581     0.00067     0.00076
   -73.93648     0.00000     0.00000     0.00000     0.00000
   -73.92548     0.00000     0.00000     0.00000     0.00000
   -73.91448     0.00000     0.00000     0.00000     0.00000
   -73.90348   373.03456     0.01787     0.00148     0.00274
   -73.89348     0.00000     0.00000     0.00000     0.00000
   -73.88248     0.00000     0.00000     0.00000     0.00000
   -73.87148     0.00000     0.00000     0.00000     0.00000
   -73.86148     0.00000     0.00000     0.00000     0.00000
   -73.85048     0.00000     0.00000     0.00000     0.00000
   -73.83948     0.00000     0.00000     0.00000     0.00000
   -73.82948     0.00000     0.00000     0.00000     0.00000
   -73.81848     0.00000     0.00000     0.00000     0.00000
   -73.80748     0.00000     0.00000     0.00000     0.00000
   -73.79648     0.00000     0.00000     0.00000     0.00000
   -73.78648     0.00000     0.00000     0.00000     0.00000
   -73.77548     0.00000     0.00000     0.00000     0.00000
   -73.76448     0.00000     0.00000     0.00000     0.00000
   -73.75448     0.00000     0.00000     0.00000     0.00000
   -73.74348     0.00000     0.00000     0.00000     0.00000
   -73.73248     0.00000     0.00000     0.00000     0.00000
   -73.72248     0.00000     0.00000     0.00000     0.00000
   -73.71148     0.00000     0.00000     0.00000     0.00000
   -73.70048     0.00000     0.00000     0.00000     0.00000
   -73.68948     0.00000     0.00000     0.00000     0.00000
   -73.67948     0.00000     0.00000     0.00000     0.00000
   -73.66848     0.00000     0.00000     0.00000     0.00000
   -73.65748     0.00000     0.00000     0.00000     0.00000
   -73.64748     0.00000     0.00000     0.00000     0.00000
   -73.63648     0.00000     0.00000     0.00000     0.00000
   -73.62548     0.00000     0.00000     0.00000     0.00000
   -73.61548     0.00000     0.00000     0.00000     0.00000
   -73.60448     0.00000     0.00000     0.00000     0.00000
   -73.59348     0.00000     0.00000     0.00000     0.00000
   -73.58248     0.00000     0.00000     0.00000     0.00000
   -73.57248     0.00000     0.00000     0.00000     0.00000
   -73.56148     0.00000     0.00000     0.00000     0.00000
   -73.55048     0.00000     0.00000     0.00000     0.00000
   -73.54048     0.00000     0.00000     0.00000     0.00000
   -73.52948     0.00000     0.00000     0.00000     0.00000
   -73.51848     0.00000     0.00000     0.00000     0.00000
   -73.50848     0.00000     0.00000     0.00000     0.00000
   -73.49748     0.00000     0.00000     0.00000     0.00000
   -73.48648     0.00000     0.00000     0.00000     0.00000
   -73.47548     0.00000     0.00000     0.00000     0.00000
   -73.46548     0.00000     0.00000     0.00000     0.00000
   -73.45448     0.00000     0.00000     0.00000     0.00000
   -73.44348     0.00000     0.00000     0.00000     0.00000
   -73.43348     0.00000     0.00000     0.00000     0.00000
   -73.42248     0.00000     0.00000     0.00000     0.00000
   -73.41148     0.00000     0.00000     0.00000     0.00000
   -73.40148     0.00000     0.00000     0.00000     0.00000
   -73.39048     0.00000     0.00000     0.00000     0.00000
   -73.37948     0.00000     0.00000     0.00000     0.00000
   -73.36848     0.00000     0.00000     0.00000     0.00000
   -73.35848     0.00000     0.00000     0.00000     0.00000
   -73.34748     0.00000     0.00000     0.00000     0.00000
   -73.33648     0.00000     0.00000     0.00000     0.00000
   -73.32648     0.00000     0.00000     0.00000     0.00000
   -73.31548     0.00000     0.00000     0.00000     0.00000
   -73.30448     0.00000     0.00000     0.00000     0.00000
   -73.29448     0.00000     0.00000     0.00000     0.00000
   -73.28348     0.00000     0.00000     0.00000     0.00000
   -73.27248     0.00000     0.00000     0.00000     0.00000
   -73.26148     0.00000     0.00000     0.00000     0.00000
   -73.25148     0.00000     0.00000     0.00000     0.00000
   -73.24048     0.00000     0.00000     0.00000     0.00000
   -73.22948     0.00000     0.00000     0.00000     0.00000
   -73.21948     0.00000     0.00000     0.00000     0.00000
   -73.20848     0.00000     0.00000     0.00000     0.00000
   -73.19748     0.00000     0.00000     0.00000     0.00000
   -73.18748     0.00000     0.00000     0.00000     0.00000
   -73.17648     0.00000     0.00000     0.00000     0.00000
   -73.16548     0.00000     0.00000     0.00000     0.00000
   -73.15448     0.00000     0.00000     0.00000     0.00000
   -73.14448     0.00000     0.00000     0.00000     0.00000
