     #Energy       W_all      Mo_all      Ru_all      Hf_all
   -74.95717     0.00000     0.00000     0.00000     0.00000
   -74.94617     0.00000     0.00000     0.00000     0.00000
   -74.93517     0.00000     0.00000     0.00000     0.00000
   -74.92417     0.00000     0.00000     0.00000     0.00000
   -74.91317     0.00000     0.00000     0.00000     0.00000
   -74.90217     0.00000     0.00000     0.00000     0.00000
   -74.89217     0.00000     0.00000     0.00000     0.00000
   -74.88117     0.00000     0.00000     0.00000     0.00000
   -74.87017     0.00000     0.00000     0.00000     0.00000
   -74.85917     0.00000     0.00000     0.00000     0.00000
   -74.84817     0.00000     0.00000     0.00000     0.00000
   -74.83717     0.00000     0.00000     0.00000     0.00000
   -74.82617     0.00000     0.00000     0.00000     0.00000
   -74.81617     0.00000     0.00000     0.00000     0.00000
   -74.80517     0.00000     0.00000     0.00000     0.00000
   -74.79417     0.00000     0.00000     0.00000     0.00000
   -74.78317     0.00000     0.00000     0.00000     0.00000
   -74.77217     0.00000     0.00000     0.00000     0.00000
   -74.76117     0.00000     0.00000     0.00000     0.00000
   -74.75117     0.00000     0.00000     0.00000     0.00000
   -74.74017     0.00000     0.00000     0.00000     0.00000
   -74.72917     0.00000     0.00000     0.00000     0.00000
   -74.71817     0.00000     0.00000     0.00000     0.00000
   -74.70717     0.00000     0.00000     0.00000     0.00000
   -74.69617     0.00000     0.00000     0.00000     0.00000
   -74.68517     0.00000     0.00000     0.00000     0.00000
   -74.67517     0.00000     0.00000     0.00000     0.00000
   -74.66417     0.00000     0.00000     0.00000     0.00000
   -74.65317     0.00000     0.00000     0.00000     0.00000
   -74.64217     0.00000     0.00000     0.00000     0.00000
   -74.63117     0.00000     0.00000     0.00000     0.00000
   -74.62017     0.00000     0.00000     0.00000     0.00000
   -74.61017     0.00000     0.00000     0.00000     0.00000
   -74.59917     0.00000     0.00000     0.00000     0.00000
   -74.58817     0.00000     0.00000     0.00000     0.00000
   -74.57717     0.00000     0.00000     0.00000     0.00000
   -74.56617     0.00000     0.00000     0.00000     0.00000
   -74.55517     0.00000     0.00000     0.00000     0.00000
   -74.54417     0.00000     0.00000     0.00000     0.00000
   -74.53417     0.00000     0.00000     0.00000     0.00000
   -74.52317     0.00000     0.00000     0.00000     0.00000
   -74.51217     0.00000     0.00000     0.00000     0.00000
   -74.50117     0.00000     0.00000     0.00000     0.00000
   -74.49017     0.00000     0.00000     0.00000     0.00000
   -74.47917     0.00000     0.00000     0.00000     0.00000
   -74.46917     0.00000     0.00000     0.00000     0.00000
   -74.45817     0.00000     0.00000     0.00000     0.00000
   -74.44717     0.00000     0.00000     0.00000     0.00000
   -74.43617     0.00000     0.00000     0.00000     0.00000
   -74.42517     0.00000     0.00000     0.00000     0.00000
   -74.41417     0.00000     0.00000     0.00000     0.00000
   -74.40417     0.00000     0.00000     0.00000     0.00000
   -74.39317     0.00000     0.00000     0.00000     0.00000
   -74.38217     0.00000     0.00000     0.00000     0.00000
   -74.37117     0.00000     0.00000     0.00000     0.00000
   -74.36017     0.00000     0.00000     0.00000     0.00000
   -74.34917     0.00000     0.00000     0.00000     0.00000
   -74.33817     0.00000     0.00000     0.00000     0.00000
   -74.32817     0.00000     0.00000     0.00000     0.00000
   -74.31717     0.00000     0.00000     0.00000     0.00000
   -74.30617     0.00000     0.00000     0.00000     0.00000
   -74.29517     0.00000     0.00000     0.00000     0.00000
   -74.28417     0.00000     0.00000     0.00000     0.00000
   -74.27317     0.00000     0.00000     0.00000     0.00000
   -74.26317     0.00000     0.00000     0.00000     0.00000
   -74.25217     0.00000     0.00000     0.00000     0.00000
   -74.24117   184.00704     0.00522     0.00330     0.00015
   -74.23017     0.00000     0.00000     0.00000     0.00000
   -74.21917   183.98791     0.00886     0.00121     0.00000
   -74.20817   183.95012     0.00627     0.00171     0.00001
   -74.19717     0.00000     0.00000     0.00000     0.00000
   -74.18717     0.00000     0.00000     0.00000     0.00000
