     #Energy       W_all      Mo_all      Pt_all      Zr_all
   -74.26323     0.00000     0.00000     0.00000     0.00000
   -74.25223     0.00000     0.00000     0.00000     0.00000
   -74.24123     0.00000     0.00000     0.00000     0.00000
   -74.23023     0.00000     0.00000     0.00000     0.00000
   -74.21923     0.00000     0.00000     0.00000     0.00000
   -74.20823     0.00000     0.00000     0.00000     0.00000
   -74.19823     0.00000     0.00000     0.00000     0.00000
   -74.18723     0.00000     0.00000     0.00000     0.00000
   -74.17623     0.00000     0.00000     0.00000     0.00000
   -74.16523   183.14751     0.00625     0.00367     0.00001
   -74.15423     0.00000     0.00000     0.00000     0.00000
   -74.14323     0.00000     0.00000     0.00000     0.00000
   -74.13223     0.00000     0.00000     0.00000     0.00000
   -74.12123   183.21974     0.00356     0.00301     0.00001
   -74.11023     0.00000     0.00000     0.00000     0.00000
   -74.10023     0.00000     0.00000     0.00000     0.00000
   -74.08923   183.16232     0.00497     0.00100     0.00012
   -74.07823   183.22067     0.00388     0.00407     0.00003
   -74.06723   183.22273     0.00358     0.00133     0.00007
   -74.05623     0.00000     0.00000     0.00000     0.00000
   -74.04523     0.00000     0.00000     0.00000     0.00000
   -74.03423     0.00000     0.00000     0.00000     0.00000
   -74.02323   183.19839     0.00641     0.00007     0.00044
   -74.01223   183.27836     0.00447     0.00280     0.00057
   -74.00223     0.00000     0.00000     0.00000     0.00000
   -73.99123     0.00000     0.00000     0.00000     0.00000
   -73.98023   183.21753     0.00556     0.00173     0.00008
   -73.96923     0.00000     0.00000     0.00000     0.00000
   -73.95823   183.23858     0.00766     0.00001     0.00049
   -73.94723     0.00000     0.00000     0.00000     0.00000
   -73.93623     0.00000     0.00000     0.00000     0.00000
   -73.92523   183.27183     0.00296     0.00005     0.00050
   -73.91423     0.00000     0.00000     0.00000     0.00000
   -73.90423     0.00000     0.00000     0.00000     0.00000
   -73.89323   183.34800     0.00474     0.00004     0.00050
   -73.88223   366.58426     0.00907     0.00224     0.00113
   -73.87123   183.29003     0.00642     0.00140     0.00103
   -73.86023     0.00000     0.00000     0.00000     0.00000
   -73.84923     0.00000     0.00000     0.00000     0.00000
   -73.83823     0.00000     0.00000     0.00000     0.00000
   -73.82723     0.00000     0.00000     0.00000     0.00000
   -73.81623     0.00000     0.00000     0.00000     0.00000
   -73.80623     0.00000     0.00000     0.00000     0.00000
   -73.79523     0.00000     0.00000     0.00000     0.00000
   -73.78423     0.00000     0.00000     0.00000     0.00000
   -73.77323     0.00000     0.00000     0.00000     0.00000
   -73.76223     0.00000     0.00000     0.00000     0.00000
   -73.75123     0.00000     0.00000     0.00000     0.00000
   -73.74023     0.00000     0.00000     0.00000     0.00000
   -73.72923     0.00000     0.00000     0.00000     0.00000
   -73.71823     0.00000     0.00000     0.00000     0.00000
   -73.70823     0.00000     0.00000     0.00000     0.00000
   -73.69723     0.00000     0.00000     0.00000     0.00000
   -73.68623     0.00000     0.00000     0.00000     0.00000
   -73.67523     0.00000     0.00000     0.00000     0.00000
   -73.66423     0.00000     0.00000     0.00000     0.00000
   -73.65323     0.00000     0.00000     0.00000     0.00000
   -73.64223     0.00000     0.00000     0.00000     0.00000
   -73.63123     0.00000     0.00000     0.00000     0.00000
   -73.62023     0.00000     0.00000     0.00000     0.00000
   -73.61023     0.00000     0.00000     0.00000     0.00000
   -73.59923     0.00000     0.00000     0.00000     0.00000
   -73.58823     0.00000     0.00000     0.00000     0.00000
   -73.57723     0.00000     0.00000     0.00000     0.00000
   -73.56623     0.00000     0.00000     0.00000     0.00000
   -73.55523     0.00000     0.00000     0.00000     0.00000
   -73.54423     0.00000     0.00000     0.00000     0.00000
   -73.53323     0.00000     0.00000     0.00000     0.00000
   -73.52223     0.00000     0.00000     0.00000     0.00000
   -73.51223     0.00000     0.00000     0.00000     0.00000
   -73.50123     0.00000     0.00000     0.00000     0.00000
   -73.49023     0.00000     0.00000     0.00000     0.00000
   -73.47923     0.00000     0.00000     0.00000     0.00000
   -73.46823     0.00000     0.00000     0.00000     0.00000
   -73.45723     0.00000     0.00000     0.00000     0.00000
   -73.44623     0.00000     0.00000     0.00000     0.00000
   -73.43523     0.00000     0.00000     0.00000     0.00000
   -73.42423     0.00000     0.00000     0.00000     0.00000
   -73.41423     0.00000     0.00000     0.00000     0.00000
   -73.40323     0.00000     0.00000     0.00000     0.00000
   -73.39223     0.00000     0.00000     0.00000     0.00000
   -73.38123     0.00000     0.00000     0.00000     0.00000
   -73.37023     0.00000     0.00000     0.00000     0.00000
   -73.35923     0.00000     0.00000     0.00000     0.00000
   -73.34823     0.00000     0.00000     0.00000     0.00000
   -73.33723     0.00000     0.00000     0.00000     0.00000
   -73.32623     0.00000     0.00000     0.00000     0.00000
   -73.31623     0.00000     0.00000     0.00000     0.00000
   -73.30523     0.00000     0.00000     0.00000     0.00000
   -73.29423     0.00000     0.00000     0.00000     0.00000
   -73.28323     0.00000     0.00000     0.00000     0.00000
   -73.27223     0.00000     0.00000     0.00000     0.00000
   -73.26123     0.00000     0.00000     0.00000     0.00000
   -73.25023     0.00000     0.00000     0.00000     0.00000
   -73.23923     0.00000     0.00000     0.00000     0.00000
   -73.22823     0.00000     0.00000     0.00000     0.00000
   -73.21823     0.00000     0.00000     0.00000     0.00000
   -73.20723     0.00000     0.00000     0.00000     0.00000
   -73.19623     0.00000     0.00000     0.00000     0.00000
   -73.18523     0.00000     0.00000     0.00000     0.00000
   -73.17423     0.00000     0.00000     0.00000     0.00000
   -73.16323     0.00000     0.00000     0.00000     0.00000
   -73.15223     0.00000     0.00000     0.00000     0.00000
   -73.14123     0.00000     0.00000     0.00000     0.00000
   -73.13023     0.00000     0.00000     0.00000     0.00000
   -73.12023     0.00000     0.00000     0.00000     0.00000
   -73.10923     0.00000     0.00000     0.00000     0.00000
   -73.09823     0.00000     0.00000     0.00000     0.00000
   -73.08723     0.00000     0.00000     0.00000     0.00000
   -73.07623     0.00000     0.00000     0.00000     0.00000
   -73.06523     0.00000     0.00000     0.00000     0.00000
   -73.05423     0.00000     0.00000     0.00000     0.00000
   -73.04323     0.00000     0.00000     0.00000     0.00000
   -73.03223     0.00000     0.00000     0.00000     0.00000
   -73.02223     0.00000     0.00000     0.00000     0.00000
   -73.01123     0.00000     0.00000     0.00000     0.00000
   -73.00023     0.00000     0.00000     0.00000     0.00000
   -72.98923     0.00000     0.00000     0.00000     0.00000
   -72.97823     0.00000     0.00000     0.00000     0.00000
   -72.96723     0.00000     0.00000     0.00000     0.00000
   -72.95623     0.00000     0.00000     0.00000     0.00000
   -72.94523     0.00000     0.00000     0.00000     0.00000
   -72.93423     0.00000     0.00000     0.00000     0.00000
   -72.92423     0.00000     0.00000     0.00000     0.00000
   -72.91323     0.00000     0.00000     0.00000     0.00000
   -72.90223     0.00000     0.00000     0.00000     0.00000
   -72.89123     0.00000     0.00000     0.00000     0.00000
   -72.88023     0.00000     0.00000     0.00000     0.00000
   -72.86923     0.00000     0.00000     0.00000     0.00000
   -72.85823     0.00000     0.00000     0.00000     0.00000
   -72.84723     0.00000     0.00000     0.00000     0.00000
   -72.83623     0.00000     0.00000     0.00000     0.00000
   -72.82623     0.00000     0.00000     0.00000     0.00000
   -72.81523     0.00000     0.00000     0.00000     0.00000
   -72.80423     0.00000     0.00000     0.00000     0.00000
   -72.79323     0.00000     0.00000     0.00000     0.00000
   -72.78223     0.00000     0.00000     0.00000     0.00000
   -72.77123     0.00000     0.00000     0.00000     0.00000
   -72.76023     0.00000     0.00000     0.00000     0.00000
   -72.74923     0.00000     0.00000     0.00000     0.00000
   -72.73823     0.00000     0.00000     0.00000     0.00000
   -72.72823     0.00000     0.00000     0.00000     0.00000
   -72.71723     0.00000     0.00000     0.00000     0.00000
   -72.70623     0.00000     0.00000     0.00000     0.00000
   -72.69523     0.00000     0.00000     0.00000     0.00000
   -72.68423     0.00000     0.00000     0.00000     0.00000
   -72.67323     0.00000     0.00000     0.00000     0.00000
   -72.66223     0.00000     0.00000     0.00000     0.00000
   -72.65123     0.00000     0.00000     0.00000     0.00000
   -72.64023     0.00000     0.00000     0.00000     0.00000
   -72.63023     0.00000     0.00000     0.00000     0.00000
   -72.61923     0.00000     0.00000     0.00000     0.00000
   -72.60823     0.00000     0.00000     0.00000     0.00000
   -72.59723     0.00000     0.00000     0.00000     0.00000
   -72.58623     0.00000     0.00000     0.00000     0.00000
   -72.57523     0.00000     0.00000     0.00000     0.00000
   -72.56423     0.00000     0.00000     0.00000     0.00000
   -72.55323     0.00000     0.00000     0.00000     0.00000
