     #Energy       W_all      Mo_all      Pd_all      Ti_all
   -75.10832     0.00000     0.00000     0.00000     0.00000
   -75.09832     0.00000     0.00000     0.00000     0.00000
   -75.08732     0.00000     0.00000     0.00000     0.00000
   -75.07632     0.00000     0.00000     0.00000     0.00000
   -75.06632     0.00000     0.00000     0.00000     0.00000
   -75.05532     0.00000     0.00000     0.00000     0.00000
   -75.04432     0.00000     0.00000     0.00000     0.00000
   -75.03432     0.00000     0.00000     0.00000     0.00000
   -75.02332     0.00000     0.00000     0.00000     0.00000
   -75.01232     0.00000     0.00000     0.00000     0.00000
   -75.00232     0.00000     0.00000     0.00000     0.00000
   -74.99132     0.00000     0.00000     0.00000     0.00000
   -74.98032     0.00000     0.00000     0.00000     0.00000
   -74.97032     0.00000     0.00000     0.00000     0.00000
   -74.95932     0.00000     0.00000     0.00000     0.00000
   -74.94832     0.00000     0.00000     0.00000     0.00000
   -74.93832     0.00000     0.00000     0.00000     0.00000
   -74.92732     0.00000     0.00000     0.00000     0.00000
   -74.91632     0.00000     0.00000     0.00000     0.00000
   -74.90632     0.00000     0.00000     0.00000     0.00000
   -74.89532     0.00000     0.00000     0.00000     0.00000
   -74.88432     0.00000     0.00000     0.00000     0.00000
   -74.87432     0.00000     0.00000     0.00000     0.00000
   -74.86332     0.00000     0.00000     0.00000     0.00000
   -74.85232     0.00000     0.00000     0.00000     0.00000
   -74.84232     0.00000     0.00000     0.00000     0.00000
   -74.83132     0.00000     0.00000     0.00000     0.00000
   -74.82032     0.00000     0.00000     0.00000     0.00000
   -74.81032     0.00000     0.00000     0.00000     0.00000
   -74.79932     0.00000     0.00000     0.00000     0.00000
   -74.78932     0.00000     0.00000     0.00000     0.00000
   -74.77832     0.00000     0.00000     0.00000     0.00000
   -74.76732     0.00000     0.00000     0.00000     0.00000
