     #Energy       W_all      Mo_all      Re_all      Ti_all
   -81.23641     0.00000     0.00000     0.00000     0.00000
   -81.22441     0.00000     0.00000     0.00000     0.00000
   -81.21341     0.00000     0.00000     0.00000     0.00000
   -81.20141     0.00000     0.00000     0.00000     0.00000
   -81.19041     0.00000     0.00000     0.00000     0.00000
   -81.17841     0.00000     0.00000     0.00000     0.00000
   -81.16741     0.00000     0.00000     0.00000     0.00000
   -81.15541     0.00000     0.00000     0.00000     0.00000
   -81.14441     0.00000     0.00000     0.00000     0.00000
   -81.13341     0.00000     0.00000     0.00000     0.00000
   -81.12141     0.00000     0.00000     0.00000     0.00000
   -81.11041     0.00000     0.00000     0.00000     0.00000
   -81.09841     0.00000     0.00000     0.00000     0.00000
   -81.08741     0.00000     0.00000     0.00000     0.00000
   -81.07541     0.00000     0.00000     0.00000     0.00000
   -81.06441     0.00000     0.00000     0.00000     0.00000
   -81.05241     0.00000     0.00000     0.00000     0.00000
   -81.04141     0.00000     0.00000     0.00000     0.00000
   -81.02941     0.00000     0.00000     0.00000     0.00000
   -81.01841     0.00000     0.00000     0.00000     0.00000
   -81.00641     0.00000     0.00000     0.00000     0.00000
   -80.99541     0.00000     0.00000     0.00000     0.00000
   -80.98341     0.00000     0.00000     0.00000     0.00000
   -80.97241     0.00000     0.00000     0.00000     0.00000
   -80.96041     0.00000     0.00000     0.00000     0.00000
   -80.94941     0.00000     0.00000     0.00000     0.00000
   -80.93841     0.00000     0.00000     0.00000     0.00000
   -80.92641     0.00000     0.00000     0.00000     0.00000
   -80.91541     0.00000     0.00000     0.00000     0.00000
   -80.90341     0.00000     0.00000     0.00000     0.00000
   -80.89241     0.00000     0.00000     0.00000     0.00000
   -80.88041     0.00000     0.00000     0.00000     0.00000
   -80.86941     0.00000     0.00000     0.00000     0.00000
   -80.85741     0.00000     0.00000     0.00000     0.00000
   -80.84641     0.00000     0.00000     0.00000     0.00000
   -80.83441     0.00000     0.00000     0.00000     0.00000
   -80.82341     0.00000     0.00000     0.00000     0.00000
   -80.81141     0.00000     0.00000     0.00000     0.00000
   -80.80041     0.00000     0.00000     0.00000     0.00000
   -80.78841     0.00000     0.00000     0.00000     0.00000
   -80.77741     0.00000     0.00000     0.00000     0.00000
   -80.76541     0.00000     0.00000     0.00000     0.00000
   -80.75441     0.00000     0.00000     0.00000     0.00000
   -80.74241     0.00000     0.00000     0.00000     0.00000
   -80.73141     0.00000     0.00000     0.00000     0.00000
   -80.72041     0.00000     0.00000     0.00000     0.00000
   -80.70841     0.00000     0.00000     0.00000     0.00000
   -80.69741     0.00000     0.00000     0.00000     0.00000
   -80.68541     0.00000     0.00000     0.00000     0.00000
   -80.67441     0.00000     0.00000     0.00000     0.00000
   -80.66241     0.00000     0.00000     0.00000     0.00000
   -80.65141     0.00000     0.00000     0.00000     0.00000
   -80.63941     0.00000     0.00000     0.00000     0.00000
   -80.62841     0.00000     0.00000     0.00000     0.00000
