     #Energy       W_all      Mo_all      Ir_all      Ti_all
   -77.69682     0.00000     0.00000     0.00000     0.00000
   -77.68582     0.00000     0.00000     0.00000     0.00000
   -77.67482     0.00000     0.00000     0.00000     0.00000
   -77.66482     0.00000     0.00000     0.00000     0.00000
   -77.65382     0.00000     0.00000     0.00000     0.00000
   -77.64282     0.00000     0.00000     0.00000     0.00000
   -77.63282     0.00000     0.00000     0.00000     0.00000
   -77.62182     0.00000     0.00000     0.00000     0.00000
   -77.61082     0.00000     0.00000     0.00000     0.00000
   -77.60082     0.00000     0.00000     0.00000     0.00000
   -77.58982     0.00000     0.00000     0.00000     0.00000
   -77.57882     0.00000     0.00000     0.00000     0.00000
   -77.56782     0.00000     0.00000     0.00000     0.00000
   -77.55782     0.00000     0.00000     0.00000     0.00000
   -77.54682     0.00000     0.00000     0.00000     0.00000
   -77.53582     0.00000     0.00000     0.00000     0.00000
   -77.52582     0.00000     0.00000     0.00000     0.00000
   -77.51482     0.00000     0.00000     0.00000     0.00000
   -77.50382     0.00000     0.00000     0.00000     0.00000
   -77.49382     0.00000     0.00000     0.00000     0.00000
   -77.48282     0.00000     0.00000     0.00000     0.00000
   -77.47182     0.00000     0.00000     0.00000     0.00000
   -77.46182     0.00000     0.00000     0.00000     0.00000
   -77.45082     0.00000     0.00000     0.00000     0.00000
   -77.43982     0.00000     0.00000     0.00000     0.00000
   -77.42882     0.00000     0.00000     0.00000     0.00000
   -77.41882     0.00000     0.00000     0.00000     0.00000
   -77.40782     0.00000     0.00000     0.00000     0.00000
   -77.39682     0.00000     0.00000     0.00000     0.00000
   -77.38682     0.00000     0.00000     0.00000     0.00000
   -77.37582     0.00000     0.00000     0.00000     0.00000
   -77.36482     0.00000     0.00000     0.00000     0.00000
   -77.35482     0.00000     0.00000     0.00000     0.00000
   -77.34382     0.00000     0.00000     0.00000     0.00000
   -77.33282     0.00000     0.00000     0.00000     0.00000
   -77.32282     0.00000     0.00000     0.00000     0.00000
   -77.31182     0.00000     0.00000     0.00000     0.00000
   -77.30082     0.00000     0.00000     0.00000     0.00000
   -77.28982     0.00000     0.00000     0.00000     0.00000
   -77.27982     0.00000     0.00000     0.00000     0.00000
   -77.26882     0.00000     0.00000     0.00000     0.00000
   -77.25782     0.00000     0.00000     0.00000     0.00000
   -77.24782     0.00000     0.00000     0.00000     0.00000
   -77.23682     0.00000     0.00000     0.00000     0.00000
   -77.22582     0.00000     0.00000     0.00000     0.00000
   -77.21582     0.00000     0.00000     0.00000     0.00000
   -77.20482     0.00000     0.00000     0.00000     0.00000
   -77.19382     0.00000     0.00000     0.00000     0.00000
   -77.18382     0.00000     0.00000     0.00000     0.00000
   -77.17282     0.00000     0.00000     0.00000     0.00000
   -77.16182     0.00000     0.00000     0.00000     0.00000
   -77.15182     0.00000     0.00000     0.00000     0.00000
   -77.14082     0.00000     0.00000     0.00000     0.00000
   -77.12982     0.00000     0.00000     0.00000     0.00000
   -77.11882     0.00000     0.00000     0.00000     0.00000
   -77.10882     0.00000     0.00000     0.00000     0.00000
   -77.09782     0.00000     0.00000     0.00000     0.00000
   -77.08682     0.00000     0.00000     0.00000     0.00000
   -77.07682     0.00000     0.00000     0.00000     0.00000
   -77.06582     0.00000     0.00000     0.00000     0.00000
   -77.05482     0.00000     0.00000     0.00000     0.00000
   -77.04482     0.00000     0.00000     0.00000     0.00000
   -77.03382     0.00000     0.00000     0.00000     0.00000
   -77.02282     0.00000     0.00000     0.00000     0.00000
   -77.01282     0.00000     0.00000     0.00000     0.00000
   -77.00182     0.00000     0.00000     0.00000     0.00000
   -76.99082     0.00000     0.00000     0.00000     0.00000
   -76.97982     0.00000     0.00000     0.00000     0.00000
   -76.96982     0.00000     0.00000     0.00000     0.00000
   -76.95882     0.00000     0.00000     0.00000     0.00000
   -76.94782     0.00000     0.00000     0.00000     0.00000
   -76.93782     0.00000     0.00000     0.00000     0.00000
   -76.92682     0.00000     0.00000     0.00000     0.00000
   -76.91582     0.00000     0.00000     0.00000     0.00000
   -76.90582     0.00000     0.00000     0.00000     0.00000
   -76.89482     0.00000     0.00000     0.00000     0.00000
   -76.88382     0.00000     0.00000     0.00000     0.00000
   -76.87382     0.00000     0.00000     0.00000     0.00000
   -76.86282     0.00000     0.00000     0.00000     0.00000
   -76.85182     0.00000     0.00000     0.00000     0.00000
   -76.84082     0.00000     0.00000     0.00000     0.00000
   -76.83082     0.00000     0.00000     0.00000     0.00000
   -76.81982     0.00000     0.00000     0.00000     0.00000
   -76.80882     0.00000     0.00000     0.00000     0.00000
   -76.79882     0.00000     0.00000     0.00000     0.00000
   -76.78782     0.00000     0.00000     0.00000     0.00000
   -76.77682     0.00000     0.00000     0.00000     0.00000
   -76.76682     0.00000     0.00000     0.00000     0.00000
   -76.75582     0.00000     0.00000     0.00000     0.00000
   -76.74482     0.00000     0.00000     0.00000     0.00000
   -76.73482     0.00000     0.00000     0.00000     0.00000
   -76.72382     0.00000     0.00000     0.00000     0.00000
   -76.71282     0.00000     0.00000     0.00000     0.00000
   -76.70182     0.00000     0.00000     0.00000     0.00000
   -76.69182     0.00000     0.00000     0.00000     0.00000
   -76.68082     0.00000     0.00000     0.00000     0.00000
   -76.66982     0.00000     0.00000     0.00000     0.00000
   -76.65982     0.00000     0.00000     0.00000     0.00000
   -76.64882     0.00000     0.00000     0.00000     0.00000
   -76.63782     0.00000     0.00000     0.00000     0.00000
   -76.62782     0.00000     0.00000     0.00000     0.00000
   -76.61682     0.00000     0.00000     0.00000     0.00000
   -76.60582     0.00000     0.00000     0.00000     0.00000
   -76.59582     0.00000     0.00000     0.00000     0.00000
   -76.58482     0.00000     0.00000     0.00000     0.00000
   -76.57382     0.00000     0.00000     0.00000     0.00000
   -76.56282     0.00000     0.00000     0.00000     0.00000
   -76.55282     0.00000     0.00000     0.00000     0.00000
   -76.54182     0.00000     0.00000     0.00000     0.00000
   -76.53082     0.00000     0.00000     0.00000     0.00000
   -76.52082     0.00000     0.00000     0.00000     0.00000
   -76.50982     0.00000     0.00000     0.00000     0.00000
   -76.49882     0.00000     0.00000     0.00000     0.00000
   -76.48882     0.00000     0.00000     0.00000     0.00000
   -76.47782     0.00000     0.00000     0.00000     0.00000
   -76.46682     0.00000     0.00000     0.00000     0.00000
   -76.45682     0.00000     0.00000     0.00000     0.00000
   -76.44582     0.00000     0.00000     0.00000     0.00000
   -76.43482     0.00000     0.00000     0.00000     0.00000
   -76.42382     0.00000     0.00000     0.00000     0.00000
   -76.41382     0.00000     0.00000     0.00000     0.00000
   -76.40282     0.00000     0.00000     0.00000     0.00000
   -76.39182     0.00000     0.00000     0.00000     0.00000
   -76.38182     0.00000     0.00000     0.00000     0.00000
   -76.37082     0.00000     0.00000     0.00000     0.00000
   -76.35982     0.00000     0.00000     0.00000     0.00000
   -76.34982     0.00000     0.00000     0.00000     0.00000
   -76.33882     0.00000     0.00000     0.00000     0.00000
   -76.32782     0.00000     0.00000     0.00000     0.00000
