     #Energy       W_all      Mo_all      Rh_all      Zr_all
   -74.93115     0.00000     0.00000     0.00000     0.00000
   -74.92015     0.00000     0.00000     0.00000     0.00000
   -74.91015     0.00000     0.00000     0.00000     0.00000
   -74.89915     0.00000     0.00000     0.00000     0.00000
   -74.88815     0.00000     0.00000     0.00000     0.00000
   -74.87715     0.00000     0.00000     0.00000     0.00000
   -74.86715     0.00000     0.00000     0.00000     0.00000
   -74.85615     0.00000     0.00000     0.00000     0.00000
   -74.84515     0.00000     0.00000     0.00000     0.00000
   -74.83515     0.00000     0.00000     0.00000     0.00000
   -74.82415     0.00000     0.00000     0.00000     0.00000
   -74.81315     0.00000     0.00000     0.00000     0.00000
   -74.80215     0.00000     0.00000     0.00000     0.00000
   -74.79215     0.00000     0.00000     0.00000     0.00000
   -74.78115     0.00000     0.00000     0.00000     0.00000
   -74.77015     0.00000     0.00000     0.00000     0.00000
   -74.75915     0.00000     0.00000     0.00000     0.00000
   -74.74915     0.00000     0.00000     0.00000     0.00000
   -74.73815     0.00000     0.00000     0.00000     0.00000
   -74.72715     0.00000     0.00000     0.00000     0.00000
   -74.71715     0.00000     0.00000     0.00000     0.00000
   -74.70615     0.00000     0.00000     0.00000     0.00000
   -74.69515     0.00000     0.00000     0.00000     0.00000
   -74.68415     0.00000     0.00000     0.00000     0.00000
   -74.67415     0.00000     0.00000     0.00000     0.00000
   -74.66315     0.00000     0.00000     0.00000     0.00000
   -74.65215     0.00000     0.00000     0.00000     0.00000
   -74.64115     0.00000     0.00000     0.00000     0.00000
   -74.63115     0.00000     0.00000     0.00000     0.00000
   -74.62015     0.00000     0.00000     0.00000     0.00000
   -74.60915     0.00000     0.00000     0.00000     0.00000
   -74.59915     0.00000     0.00000     0.00000     0.00000
   -74.58815     0.00000     0.00000     0.00000     0.00000
   -74.57715     0.00000     0.00000     0.00000     0.00000
   -74.56615     0.00000     0.00000     0.00000     0.00000
   -74.55615     0.00000     0.00000     0.00000     0.00000
   -74.54515     0.00000     0.00000     0.00000     0.00000
   -74.53415     0.00000     0.00000     0.00000     0.00000
   -74.52315     0.00000     0.00000     0.00000     0.00000
   -74.51315     0.00000     0.00000     0.00000     0.00000
   -74.50215     0.00000     0.00000     0.00000     0.00000
   -74.49115     0.00000     0.00000     0.00000     0.00000
   -74.48015     0.00000     0.00000     0.00000     0.00000
   -74.47015     0.00000     0.00000     0.00000     0.00000
   -74.45915     0.00000     0.00000     0.00000     0.00000
   -74.44815     0.00000     0.00000     0.00000     0.00000
   -74.43815     0.00000     0.00000     0.00000     0.00000
   -74.42715     0.00000     0.00000     0.00000     0.00000
   -74.41615     0.00000     0.00000     0.00000     0.00000
   -74.40515     0.00000     0.00000     0.00000     0.00000
   -74.39515     0.00000     0.00000     0.00000     0.00000
   -74.38415     0.00000     0.00000     0.00000     0.00000
   -74.37315     0.00000     0.00000     0.00000     0.00000
   -74.36215     0.00000     0.00000     0.00000     0.00000
   -74.35215     0.00000     0.00000     0.00000     0.00000
   -74.34115     0.00000     0.00000     0.00000     0.00000
   -74.33015     0.00000     0.00000     0.00000     0.00000
   -74.32015     0.00000     0.00000     0.00000     0.00000
   -74.30915     0.00000     0.00000     0.00000     0.00000
   -74.29815     0.00000     0.00000     0.00000     0.00000
   -74.28715     0.00000     0.00000     0.00000     0.00000
   -74.27715     0.00000     0.00000     0.00000     0.00000
   -74.26615     0.00000     0.00000     0.00000     0.00000
   -74.25515     0.00000     0.00000     0.00000     0.00000
   -74.24415     0.00000     0.00000     0.00000     0.00000
   -74.23415     0.00000     0.00000     0.00000     0.00000
   -74.22315     0.00000     0.00000     0.00000     0.00000
   -74.21215     0.00000     0.00000     0.00000     0.00000
   -74.20215     0.00000     0.00000     0.00000     0.00000
   -74.19115     0.00000     0.00000     0.00000     0.00000
   -74.18015     0.00000     0.00000     0.00000     0.00000
   -74.16915     0.00000     0.00000     0.00000     0.00000
   -74.15915     0.00000     0.00000     0.00000     0.00000
   -74.14815     0.00000     0.00000     0.00000     0.00000
   -74.13715     0.00000     0.00000     0.00000     0.00000
   -74.12615     0.00000     0.00000     0.00000     0.00000
   -74.11615     0.00000     0.00000     0.00000     0.00000
   -74.10515     0.00000     0.00000     0.00000     0.00000
   -74.09415     0.00000     0.00000     0.00000     0.00000
   -74.08415   185.87197     0.00715     0.00072     0.00001
   -74.07315     0.00000     0.00000     0.00000     0.00000
   -74.06215     0.00000     0.00000     0.00000     0.00000
   -74.05115     0.00000     0.00000     0.00000     0.00000
   -74.04115   185.92836     0.00479     0.00110     0.00003
   -74.03015   185.94065     0.01020     0.00085     0.00007
   -74.01915     0.00000     0.00000     0.00000     0.00000
   -74.00815     0.00000     0.00000     0.00000     0.00000
