     #Energy       W_all      Mo_all      Re_all      Zr_all
   -80.38140     0.00000     0.00000     0.00000     0.00000
   -80.37040     0.00000     0.00000     0.00000     0.00000
   -80.35840     0.00000     0.00000     0.00000     0.00000
   -80.34740     0.00466     0.00232   200.90024     0.00036
   -80.33540     0.00000     0.00000     0.00000     0.00000
   -80.32340     0.00000     0.00000     0.00000     0.00000
   -80.31240     0.00329     0.00370   201.02232     0.00051
   -80.30040     0.00000     0.00000     0.00000     0.00000
   -80.28940     0.00000     0.00000     0.00000     0.00000
   -80.27740     0.00000     0.00000     0.00000     0.00000
   -80.26540     0.00000     0.00000     0.00000     0.00000
   -80.25440     0.00000     0.00000     0.00000     0.00000
   -80.24240     0.00000     0.00000     0.00000     0.00000
   -80.23140     0.00000     0.00000     0.00000     0.00000
   -80.21940     0.00000     0.00000     0.00000     0.00000
   -80.20840     0.00000     0.00000     0.00000     0.00000
   -80.19640     0.00411     0.00062   201.16502     0.00080
   -80.18440     0.00000     0.00000     0.00000     0.00000
   -80.17340     0.00000     0.00000     0.00000     0.00000
   -80.16140     0.00000     0.00000     0.00000     0.00000
   -80.15040     0.00000     0.00000     0.00000     0.00000
   -80.13840     0.00000     0.00000     0.00000     0.00000
   -80.12640     0.00000     0.00000     0.00000     0.00000
   -80.11540     0.00000     0.00000     0.00000     0.00000
   -80.10340     0.00000     0.00000     0.00000     0.00000
   -80.09240     0.00000     0.00000     0.00000     0.00000
   -80.08040     0.00000     0.00000     0.00000     0.00000
   -80.06940     0.00000     0.00000     0.00000     0.00000
   -80.05740     0.00000     0.00000     0.00000     0.00000
   -80.04540     0.00000     0.00000     0.00000     0.00000
   -80.03440     0.00000     0.00000     0.00000     0.00000
   -80.02240     0.00000     0.00000     0.00000     0.00000
   -80.01140     0.00000     0.00000     0.00000     0.00000
   -79.99940     0.00000     0.00000     0.00000     0.00000
   -79.98740     0.00000     0.00000     0.00000     0.00000
   -79.97640     0.00000     0.00000     0.00000     0.00000
   -79.96440     0.00000     0.00000     0.00000     0.00000
   -79.95340     0.00000     0.00000     0.00000     0.00000
   -79.94140     0.00000     0.00000     0.00000     0.00000
   -79.93040     0.00000     0.00000     0.00000     0.00000
   -79.91840     0.00000     0.00000     0.00000     0.00000
   -79.90640     0.00000     0.00000     0.00000     0.00000
   -79.89540     0.00000     0.00000     0.00000     0.00000
   -79.88340     0.00000     0.00000     0.00000     0.00000
   -79.87240     0.00000     0.00000     0.00000     0.00000
   -79.86040     0.00000     0.00000     0.00000     0.00000
   -79.84940     0.00000     0.00000     0.00000     0.00000
   -79.83740     0.00000     0.00000     0.00000     0.00000
   -79.82540     0.00000     0.00000     0.00000     0.00000
   -79.81440     0.00000     0.00000     0.00000     0.00000
   -79.80240     0.00000     0.00000     0.00000     0.00000
   -79.79140     0.00000     0.00000     0.00000     0.00000
   -79.77940     0.00000     0.00000     0.00000     0.00000
   -79.76740     0.00000     0.00000     0.00000     0.00000
   -79.75640     0.00000     0.00000     0.00000     0.00000
   -79.74440     0.00000     0.00000     0.00000     0.00000
   -79.73340     0.00000     0.00000     0.00000     0.00000
   -79.72140     0.00000     0.00000     0.00000     0.00000
   -79.71040     0.00000     0.00000     0.00000     0.00000
   -79.69840     0.00000     0.00000     0.00000     0.00000
   -79.68640     0.00000     0.00000     0.00000     0.00000
   -79.67540     0.00000     0.00000     0.00000     0.00000
   -79.66340     0.00000     0.00000     0.00000     0.00000
   -79.65240     0.00000     0.00000     0.00000     0.00000
   -79.64040     0.00000     0.00000     0.00000     0.00000
   -79.62840     0.00000     0.00000     0.00000     0.00000
   -79.61740     0.00000     0.00000     0.00000     0.00000
   -79.60540     0.00000     0.00000     0.00000     0.00000
   -79.59440     0.00000     0.00000     0.00000     0.00000
   -79.58240     0.00000     0.00000     0.00000     0.00000
   -79.57140     0.00000     0.00000     0.00000     0.00000
   -79.55940     0.00000     0.00000     0.00000     0.00000
   -79.54740     0.00000     0.00000     0.00000     0.00000
   -79.53640     0.00000     0.00000     0.00000     0.00000
   -79.52440     0.00000     0.00000     0.00000     0.00000
   -79.51340     0.00000     0.00000     0.00000     0.00000
   -79.50140     0.00000     0.00000     0.00000     0.00000
   -79.48940     0.00000     0.00000     0.00000     0.00000
   -79.47840     0.00000     0.00000     0.00000     0.00000
   -79.46640     0.00000     0.00000     0.00000     0.00000
   -79.45540     0.00000     0.00000     0.00000     0.00000
   -79.44340     0.00000     0.00000     0.00000     0.00000
   -79.43240     0.00000     0.00000     0.00000     0.00000
   -79.42040     0.00000     0.00000     0.00000     0.00000
   -79.40840     0.00000     0.00000     0.00000     0.00000
   -79.39740     0.00000     0.00000     0.00000     0.00000
   -79.38540     0.00000     0.00000     0.00000     0.00000
   -79.37440     0.00000     0.00000     0.00000     0.00000
   -79.36240     0.00000     0.00000     0.00000     0.00000
   -79.35040     0.00000     0.00000     0.00000     0.00000
   -79.33940     0.00000     0.00000     0.00000     0.00000
   -79.32740     0.00000     0.00000     0.00000     0.00000
   -79.31640     0.00000     0.00000     0.00000     0.00000
   -79.30440     0.00000     0.00000     0.00000     0.00000
   -79.29340     0.00000     0.00000     0.00000     0.00000
   -79.28140     0.00000     0.00000     0.00000     0.00000
   -79.26940     0.00000     0.00000     0.00000     0.00000
   -79.25840     0.00000     0.00000     0.00000     0.00000
   -79.24640     0.00000     0.00000     0.00000     0.00000
