     #Energy       W_all      Mo_all      Os_all
   -74.86105     0.00000     0.00000     0.00000
   -74.85105     0.00000     0.00000     0.00000
   -74.84005     0.00000     0.00000     0.00000
   -74.82905     0.00000     0.00000     0.00000
   -74.81905     0.00000     0.00000     0.00000
   -74.80805     0.00000     0.00000     0.00000
   -74.79705     0.00000     0.00000     0.00000
   -74.78605     0.00000     0.00000     0.00000
   -74.77605     0.00000     0.00000     0.00000
   -74.76505     0.00000     0.00000     0.00000
   -74.75405     0.00000     0.00000     0.00000
   -74.74405     0.00000     0.00000     0.00000
   -74.73305     0.00000     0.00000     0.00000
   -74.72205     0.00000     0.00000     0.00000
   -74.71205     0.00000     0.00000     0.00000
   -74.70105     0.00000     0.00000     0.00000
   -74.69005     0.00000     0.00000     0.00000
   -74.67905     0.00000     0.00000     0.00000
   -74.66905     0.00000     0.00000     0.00000
   -74.65805     0.00000     0.00000     0.00000
   -74.64705     0.00000     0.00000     0.00000
   -74.63705     0.00000     0.00000     0.00000
   -74.62605     0.00000     0.00000     0.00000
   -74.61505     0.00000     0.00000     0.00000
   -74.60405     0.00000     0.00000     0.00000
   -74.59405     0.00000     0.00000     0.00000
   -74.58305     0.00000     0.00000     0.00000
   -74.57205     0.00000     0.00000     0.00000
   -74.56205     0.00000     0.00000     0.00000
   -74.55105     0.00000     0.00000     0.00000
   -74.54005     0.00000     0.00000     0.00000
   -74.53005     0.00000     0.00000     0.00000
   -74.51905     0.00000     0.00000     0.00000
   -74.50805     0.00000     0.00000     0.00000
   -74.49705     0.00000     0.00000     0.00000
   -74.48705     0.00000     0.00000     0.00000
   -74.47605     0.00000     0.00000     0.00000
   -74.46505     0.00000     0.00000     0.00000
   -74.45505     0.00000     0.00000     0.00000
   -74.44405     0.00000     0.00000     0.00000
   -74.43305     0.00000     0.00000     0.00000
   -74.42305     0.00000     0.00000     0.00000
   -74.41205   186.41009     0.00458     0.03251
   -74.40105     0.00000     0.00000     0.00000
   -74.39005   186.41486     0.00655     0.02189
   -74.38005     0.00000     0.00000     0.00000
   -74.36905     0.00000     0.00000     0.00000
   -74.35805     0.00000     0.00000     0.00000
   -74.34805     0.00000     0.00000     0.00000
   -74.33705   186.32327     0.00601     0.01059
   -74.32605   186.34108     0.00753     0.01000
   -74.31505     0.00000     0.00000     0.00000
   -74.30505     0.00000     0.00000     0.00000
   -74.29405     0.00000     0.00000     0.00000
   -74.28305     0.00000     0.00000     0.00000
   -74.27305     0.00000     0.00000     0.00000
   -74.26205   372.63948     0.01155     0.01793
   -74.25105   186.34706     0.00615     0.00589
   -74.24105     0.00000     0.00000     0.00000
   -74.23005  3317.66589     0.12191     0.19019
   -74.21905   403.87867     0.01651     0.01959
   -74.20805   186.29518     0.00662     0.00847
   -74.19805     0.00000     0.00000     0.00000
   -74.18705     0.00000     0.00000     0.00000
   -74.17605   186.45257     0.00643     0.00568
   -74.16605     0.00000     0.00000     0.00000
   -74.15505     0.00000     0.00000     0.00000
   -74.14405     0.00000     0.00000     0.00000
   -74.13305  6268.57287     0.17570     0.10431
   -74.12305   146.68014     0.00405     0.00252
   -74.11205   186.36787     0.00549     0.00242
   -74.10105  1979.54249     0.05729     0.02772
   -74.09105    15.53784     0.00046     0.00021
   -74.08005   186.47792     0.00525     0.00209
   -74.06905     0.00000     0.00000     0.00000
   -74.05905   186.46109     0.00347     0.00060
   -74.04805     0.00000     0.00000     0.00000
   -74.03705   186.42136     0.00997     0.00040
   -74.02605     0.00000     0.00000     0.00000
   -74.01605     0.00000     0.00000     0.00000
   -74.00505     0.00000     0.00000     0.00000
   -73.99405     0.00000     0.00000     0.00000
   -73.98405     0.00000     0.00000     0.00000
   -73.97305     0.00000     0.00000     0.00000
   -73.96205     0.00000     0.00000     0.00000
   -73.95205     0.00000     0.00000     0.00000
   -73.94105     0.00000     0.00000     0.00000
   -73.93005     0.00000     0.00000     0.00000
   -73.91905     0.00000     0.00000     0.00000
   -73.90905     0.00000     0.00000     0.00000
   -73.89805     0.00000     0.00000     0.00000
   -73.88705     0.00000     0.00000     0.00000
   -73.87705     0.00000     0.00000     0.00000
   -73.86605     0.00000     0.00000     0.00000
   -73.85505     0.00000     0.00000     0.00000
   -73.84405     0.00000     0.00000     0.00000
   -73.83405     0.00000     0.00000     0.00000
   -73.82305     0.00000     0.00000     0.00000
   -73.81205     0.00000     0.00000     0.00000
   -73.80205     0.00000     0.00000     0.00000
   -73.79105     0.00000     0.00000     0.00000
   -73.78005     0.00000     0.00000     0.00000
   -73.77005     0.00000     0.00000     0.00000
   -73.75905     0.00000     0.00000     0.00000
   -73.74805     0.00000     0.00000     0.00000
   -73.73705     0.00000     0.00000     0.00000
   -73.72705     0.00000     0.00000     0.00000
   -73.71605     0.00000     0.00000     0.00000
   -73.70505     0.00000     0.00000     0.00000
   -73.69505     0.00000     0.00000     0.00000
   -73.68405     0.00000     0.00000     0.00000
   -73.67305     0.00000     0.00000     0.00000
   -73.66305     0.00000     0.00000     0.00000
   -73.65205     0.00000     0.00000     0.00000
   -73.64105     0.00000     0.00000     0.00000
   -73.63005     0.00000     0.00000     0.00000
   -73.62005     0.00000     0.00000     0.00000
   -73.60905     0.00000     0.00000     0.00000
   -73.59805     0.00000     0.00000     0.00000
   -73.58805     0.00000     0.00000     0.00000
   -73.57705     0.00000     0.00000     0.00000
   -73.56605     0.00000     0.00000     0.00000
   -73.55505     0.00000     0.00000     0.00000
