     #Energy       W_all      Mo_all      Pd_all
   -72.33335     0.00000     0.00000     0.00000
   -72.32235     0.00000     0.00000     0.00000
   -72.31235     0.00000     0.00000     0.00000
   -72.30135     0.00000     0.00000     0.00000
   -72.29035     0.00000     0.00000     0.00000
   -72.28035     0.00000     0.00000     0.00000
   -72.26935     0.00000     0.00000     0.00000
   -72.25935     0.00000     0.00000     0.00000
   -72.24835     0.00000     0.00000     0.00000
   -72.23735     0.00000     0.00000     0.00000
   -72.22735     0.00000     0.00000     0.00000
   -72.21635     0.00000     0.00000     0.00000
   -72.20635     0.00000     0.00000     0.00000
   -72.19535     0.00000     0.00000     0.00000
   -72.18535     0.00000     0.00000     0.00000
   -72.17435     0.00000     0.00000     0.00000
   -72.16335     0.00000     0.00000     0.00000
   -72.15335     0.00000     0.00000     0.00000
   -72.14235     0.00000     0.00000     0.00000
   -72.13235     0.00000     0.00000     0.00000
   -72.12135     0.00000     0.00000     0.00000
   -72.11035     0.00000     0.00000     0.00000
   -72.10035     0.00000     0.00000     0.00000
   -72.08935     0.00000     0.00000     0.00000
   -72.07935     0.00000     0.00000     0.00000
   -72.06835     0.00000     0.00000     0.00000
   -72.05835     0.00000     0.00000     0.00000
   -72.04735     0.00000     0.00000     0.00000
   -72.03635     0.00000     0.00000     0.00000
   -72.02635     0.00000     0.00000     0.00000
   -72.01535     0.00000     0.00000     0.00000
   -72.00535     0.00000     0.00000     0.00000
   -71.99435     0.00000     0.00000     0.00000
   -71.98335     0.00000     0.00000     0.00000
   -71.97335     0.00000     0.00000     0.00000
   -71.96235     0.00000     0.00000     0.00000
   -71.95235     0.00000     0.00000     0.00000
   -71.94135     0.00000     0.00000     0.00000
   -71.93035     0.00000     0.00000     0.00000
   -71.92035     0.00000     0.00000     0.00000
   -71.90935     0.00000     0.00000     0.00000
   -71.89935     0.00000     0.00000     0.00000
   -71.88835     0.00000     0.00000     0.00000
   -71.87835     0.00000     0.00000     0.00000
   -71.86735     0.00000     0.00000     0.00000
   -71.85635     0.00000     0.00000     0.00000
   -71.84635     0.00000     0.00000     0.00000
   -71.83535     0.00000     0.00000     0.00000
   -71.82535     0.00000     0.00000     0.00000
   -71.81435     0.00000     0.00000     0.00000
   -71.80335     0.00000     0.00000     0.00000
   -71.79335     0.00000     0.00000     0.00000
   -71.78235     0.00000     0.00000     0.00000
   -71.77235     0.00000     0.00000     0.00000
   -71.76135     0.00000     0.00000     0.00000
   -71.75135     0.00000     0.00000     0.00000
   -71.74035     0.00000     0.00000     0.00000
   -71.72935     0.00000     0.00000     0.00000
   -71.71935     0.00000     0.00000     0.00000
   -71.70835     0.00000     0.00000     0.00000
   -71.69835     0.00000     0.00000     0.00000
   -71.68735     0.00000     0.00000     0.00000
   -71.67635     0.00000     0.00000     0.00000
   -71.66635     0.00000     0.00000     0.00000
   -71.65535     0.00000     0.00000     0.00000
   -71.64535     0.00000     0.00000     0.00000
   -71.63435     0.00000     0.00000     0.00000
   -71.62335     0.00000     0.00000     0.00000
   -71.61335     0.00000     0.00000     0.00000
   -71.60235     0.00000     0.00000     0.00000
   -71.59235     0.00000     0.00000     0.00000
   -71.58135     0.00000     0.00000     0.00000
   -71.57135     0.00000     0.00000     0.00000
   -71.56035     0.00000     0.00000     0.00000
   -71.54935     0.00000     0.00000     0.00000
   -71.53935     0.00000     0.00000     0.00000
   -71.52835     0.00000     0.00000     0.00000
   -71.51835     0.00000     0.00000     0.00000
   -71.50735     0.00000     0.00000     0.00000
   -71.49635     0.00000     0.00000     0.00000
   -71.48635     0.00000     0.00000     0.00000
   -71.47535     0.00000     0.00000     0.00000
   -71.46535     0.00000     0.00000     0.00000
   -71.45435     0.00000     0.00000     0.00000
   -71.44435     0.00000     0.00000     0.00000
   -71.43335     0.00000     0.00000     0.00000
   -71.42235     0.00000     0.00000     0.00000
   -71.41235     0.00000     0.00000     0.00000
   -71.40135     0.00000     0.00000     0.00000
   -71.39135     0.00000     0.00000     0.00000
   -71.38035     0.00000     0.00000     0.00000
   -71.36935     0.00000     0.00000     0.00000
   -71.35935     0.00000     0.00000     0.00000
   -71.34835     0.00000     0.00000     0.00000
   -71.33835     0.00000     0.00000     0.00000
