     #Energy       W_all      Mo_all      Rh_all      Ti_all
   -75.62619     0.00000     0.00000     0.00000     0.00000
   -75.61619     0.00000     0.00000     0.00000     0.00000
   -75.60519     0.00000     0.00000     0.00000     0.00000
   -75.59519     0.00000     0.00000     0.00000     0.00000
   -75.58419     0.00000     0.00000     0.00000     0.00000
   -75.57319     0.00000     0.00000     0.00000     0.00000
   -75.56319     0.00000     0.00000     0.00000     0.00000
   -75.55219     0.00000     0.00000     0.00000     0.00000
   -75.54219     0.00000     0.00000     0.00000     0.00000
   -75.53119     0.00000     0.00000     0.00000     0.00000
   -75.52119     0.00000     0.00000     0.00000     0.00000
   -75.51019     0.00000     0.00000     0.00000     0.00000
   -75.49919     0.00000     0.00000     0.00000     0.00000
   -75.48919     0.00000     0.00000     0.00000     0.00000
   -75.47819     0.00000     0.00000     0.00000     0.00000
   -75.46819     0.00000     0.00000     0.00000     0.00000
   -75.45719     0.00000     0.00000     0.00000     0.00000
   -75.44719     0.00000     0.00000     0.00000     0.00000
   -75.43619     0.00000     0.00000     0.00000     0.00000
   -75.42519     0.00000     0.00000     0.00000     0.00000
   -75.41519     0.00000     0.00000     0.00000     0.00000
   -75.40419     0.00000     0.00000     0.00000     0.00000
   -75.39419     0.00000     0.00000     0.00000     0.00000
   -75.38319     0.00000     0.00000     0.00000     0.00000
   -75.37319     0.00000     0.00000     0.00000     0.00000
   -75.36219     0.00000     0.00000     0.00000     0.00000
   -75.35119     0.00000     0.00000     0.00000     0.00000
   -75.34119     0.00000     0.00000     0.00000     0.00000
   -75.33019     0.00000     0.00000     0.00000     0.00000
   -75.32019     0.00000     0.00000     0.00000     0.00000
   -75.30919     0.00000     0.00000     0.00000     0.00000
   -75.29819     0.00000     0.00000     0.00000     0.00000
   -75.28819     0.00000     0.00000     0.00000     0.00000
   -75.27719     0.00000     0.00000     0.00000     0.00000
   -75.26719     0.00000     0.00000     0.00000     0.00000
   -75.25619     0.00000     0.00000     0.00000     0.00000
   -75.24619     0.00000     0.00000     0.00000     0.00000
   -75.23519     0.00000     0.00000     0.00000     0.00000
   -75.22419     0.00000     0.00000     0.00000     0.00000
   -75.21419     0.00000     0.00000     0.00000     0.00000
   -75.20319     0.00000     0.00000     0.00000     0.00000
   -75.19319     0.00000     0.00000     0.00000     0.00000
   -75.18219     0.00000     0.00000     0.00000     0.00000
   -75.17219     0.00000     0.00000     0.00000     0.00000
   -75.16119     0.00000     0.00000     0.00000     0.00000
   -75.15019     0.00000     0.00000     0.00000     0.00000
   -75.14019     0.00000     0.00000     0.00000     0.00000
   -75.12919     0.00000     0.00000     0.00000     0.00000
   -75.11919     0.00000     0.00000     0.00000     0.00000
   -75.10819     0.00000     0.00000     0.00000     0.00000
   -75.09819     0.00000     0.00000     0.00000     0.00000
   -75.08719     0.00000     0.00000     0.00000     0.00000
   -75.07619     0.00000     0.00000     0.00000     0.00000
   -75.06619     0.00000     0.00000     0.00000     0.00000
   -75.05519     0.00000     0.00000     0.00000     0.00000
   -75.04519     0.00000     0.00000     0.00000     0.00000
   -75.03419     0.00000     0.00000     0.00000     0.00000
   -75.02419     0.00000     0.00000     0.00000     0.00000
   -75.01319     0.00000     0.00000     0.00000     0.00000
   -75.00219     0.00000     0.00000     0.00000     0.00000
   -74.99219     0.00000     0.00000     0.00000     0.00000
   -74.98119     0.00000     0.00000     0.00000     0.00000
   -74.97119     0.00000     0.00000     0.00000     0.00000
   -74.96019     0.00000     0.00000     0.00000     0.00000
   -74.95019     0.00000     0.00000     0.00000     0.00000
   -74.93919     0.00000     0.00000     0.00000     0.00000
   -74.92819     0.00000     0.00000     0.00000     0.00000
   -74.91819     0.00000     0.00000     0.00000     0.00000
   -74.90719     0.00000     0.00000     0.00000     0.00000
   -74.89719     0.00000     0.00000     0.00000     0.00000
   -74.88619     0.00000     0.00000     0.00000     0.00000
   -74.87619     0.00000     0.00000     0.00000     0.00000
   -74.86519     0.00000     0.00000     0.00000     0.00000
   -74.85419     0.00000     0.00000     0.00000     0.00000
   -74.84419     0.00000     0.00000     0.00000     0.00000
   -74.83319     0.00000     0.00000     0.00000     0.00000
   -74.82319     0.00000     0.00000     0.00000     0.00000
   -74.81219     0.00000     0.00000     0.00000     0.00000
   -74.80119     0.00000     0.00000     0.00000     0.00000
   -74.79119     0.00000     0.00000     0.00000     0.00000
   -74.78019     0.00000     0.00000     0.00000     0.00000
   -74.77019     0.00000     0.00000     0.00000     0.00000
   -74.75919     0.00000     0.00000     0.00000     0.00000
   -74.74919     0.00000     0.00000     0.00000     0.00000
   -74.73819     0.00000     0.00000     0.00000     0.00000
   -74.72719     0.00000     0.00000     0.00000     0.00000
   -74.71719     0.00000     0.00000     0.00000     0.00000
   -74.70619     0.00000     0.00000     0.00000     0.00000
   -74.69619     0.00000     0.00000     0.00000     0.00000
   -74.68519     0.00000     0.00000     0.00000     0.00000
   -74.67519     0.00000     0.00000     0.00000     0.00000
   -74.66419     0.00000     0.00000     0.00000     0.00000
   -74.65319     0.00000     0.00000     0.00000     0.00000
   -74.64319     0.00000     0.00000     0.00000     0.00000
   -74.63219     0.00000     0.00000     0.00000     0.00000
   -74.62219     0.00000     0.00000     0.00000     0.00000
   -74.61119     0.00000     0.00000     0.00000     0.00000
   -74.60119     0.00000     0.00000     0.00000     0.00000
   -74.59019     0.00000     0.00000     0.00000     0.00000
