     #Energy       W_all      Mo_all      Os_all      Hf_all
   -77.65492     0.00000     0.00000     0.00000     0.00000
   -77.64392     0.00000     0.00000     0.00000     0.00000
   -77.63292     0.00000     0.00000     0.00000     0.00000
   -77.62192     0.00000     0.00000     0.00000     0.00000
   -77.61092     0.00000     0.00000     0.00000     0.00000
   -77.59992     0.00000     0.00000     0.00000     0.00000
   -77.58892     0.00000     0.00000     0.00000     0.00000
   -77.57792     0.00000     0.00000     0.00000     0.00000
   -77.56692     0.00000     0.00000     0.00000     0.00000
   -77.55592     0.00000     0.00000     0.00000     0.00000
   -77.54492     0.00000     0.00000     0.00000     0.00000
   -77.53392     0.00000     0.00000     0.00000     0.00000
   -77.52292     0.00000     0.00000     0.00000     0.00000
   -77.51192     0.00000     0.00000     0.00000     0.00000
   -77.50092     0.00000     0.00000     0.00000     0.00000
   -77.48992     0.00000     0.00000     0.00000     0.00000
   -77.47892     0.00000     0.00000     0.00000     0.00000
   -77.46792     0.00000     0.00000     0.00000     0.00000
   -77.45692     0.00000     0.00000     0.00000     0.00000
   -77.44592     0.00000     0.00000     0.00000     0.00000
   -77.43492     0.00000     0.00000     0.00000     0.00000
   -77.42392     0.00000     0.00000     0.00000     0.00000
   -77.41292     0.00000     0.00000     0.00000     0.00000
   -77.40192     0.00000     0.00000     0.00000     0.00000
   -77.39092     0.00000     0.00000     0.00000     0.00000
   -77.37992     0.00000     0.00000     0.00000     0.00000
   -77.36892     0.00000     0.00000     0.00000     0.00000
   -77.35792     0.00000     0.00000     0.00000     0.00000
   -77.34692     0.00000     0.00000     0.00000     0.00000
   -77.33592     0.00000     0.00000     0.00000     0.00000
   -77.32492     0.00000     0.00000     0.00000     0.00000
   -77.31292     0.00000     0.00000     0.00000     0.00000
   -77.30192     0.00000     0.00000     0.00000     0.00000
   -77.29092     0.00000     0.00000     0.00000     0.00000
   -77.27992     0.00000     0.00000     0.00000     0.00000
   -77.26892     0.00000     0.00000     0.00000     0.00000
   -77.25792     0.00000     0.00000     0.00000     0.00000
   -77.24692     0.00000     0.00000     0.00000     0.00000
   -77.23592     0.00000     0.00000     0.00000     0.00000
   -77.22492     0.00000     0.00000     0.00000     0.00000
   -77.21392     0.00000     0.00000     0.00000     0.00000
   -77.20292     0.00000     0.00000     0.00000     0.00000
   -77.19192     0.00000     0.00000     0.00000     0.00000
   -77.18092     0.00000     0.00000     0.00000     0.00000
   -77.16992     0.00000     0.00000     0.00000     0.00000
   -77.15892     0.00000     0.00000     0.00000     0.00000
   -77.14792     0.00000     0.00000     0.00000     0.00000
   -77.13692     0.00000     0.00000     0.00000     0.00000
   -77.12592     0.00000     0.00000     0.00000     0.00000
   -77.11492     0.00000     0.00000     0.00000     0.00000
   -77.10392     0.00000     0.00000     0.00000     0.00000
   -77.09292     0.00000     0.00000     0.00000     0.00000
   -77.08192     0.00000     0.00000     0.00000     0.00000
   -77.07092     0.00000     0.00000     0.00000     0.00000
   -77.05992     0.00000     0.00000     0.00000     0.00000
   -77.04892     0.00000     0.00000     0.00000     0.00000
   -77.03792     0.00000     0.00000     0.00000     0.00000
   -77.02692     0.00000     0.00000     0.00000     0.00000
   -77.01592     0.00000     0.00000     0.00000     0.00000
   -77.00492     0.00000     0.00000     0.00000     0.00000
   -76.99392     0.00000     0.00000     0.00000     0.00000
   -76.98292     0.00000     0.00000     0.00000     0.00000
   -76.97192     0.00000     0.00000     0.00000     0.00000
