     #Energy       W_all      Mo_all      Os_all      Zr_all
   -74.15221   182.84471     0.00730     0.00281     0.00009
   -74.14121   182.88583     0.00513     0.00336     0.00050
   -74.13021     0.00000     0.00000     0.00000     0.00000
   -74.11921   182.83195     0.00492     0.00351     0.00054
   -74.10821     0.00000     0.00000     0.00000     0.00000
   -74.09721     0.00000     0.00000     0.00000     0.00000
   -74.08621   182.91908     0.00350     0.00303     0.00054
   -74.07521   182.89775     0.00478     0.00274     0.00059
   -74.06521 90394.96524     2.25522     1.41035     0.21362
   -74.05421     4.79889     0.00012     0.00007     0.00001
   -74.04321   365.98189     0.00607     0.00867     0.00235
   -74.03221     0.00000     0.00000     0.00000     0.00000
   -74.02121     0.00000     0.00000     0.00000     0.00000
   -74.01021     0.00000     0.00000     0.00000     0.00000
   -73.99921     0.00000     0.00000     0.00000     0.00000
   -73.98821   182.89523     0.00758     0.00013     0.00059
   -73.97721     0.00000     0.00000     0.00000     0.00000
   -73.96621     0.00000     0.00000     0.00000     0.00000
   -73.95521     0.00000     0.00000     0.00000     0.00000
   -73.94521     0.00000     0.00000     0.00000     0.00000
   -73.93421     0.00000     0.00000     0.00000     0.00000
   -73.92321     0.00000     0.00000     0.00000     0.00000
   -73.91221     0.00000     0.00000     0.00000     0.00000
   -73.90121     0.00000     0.00000     0.00000     0.00000
   -73.89021     0.00000     0.00000     0.00000     0.00000
   -73.87921     0.00000     0.00000     0.00000     0.00000
   -73.86821     0.00000     0.00000     0.00000     0.00000
   -73.85721   182.96088     0.00096     0.00329     0.00106
   -73.84621     0.00000     0.00000     0.00000     0.00000
   -73.83521   182.87819     0.00541     0.00005     0.00060
   -73.82521     0.00000     0.00000     0.00000     0.00000
   -73.81421     0.00000     0.00000     0.00000     0.00000
   -73.80321     0.00000     0.00000     0.00000     0.00000
   -73.79221     0.00000     0.00000     0.00000     0.00000
   -73.78121     0.00000     0.00000     0.00000     0.00000
   -73.77021     0.00000     0.00000     0.00000     0.00000
   -73.75921     0.00000     0.00000     0.00000     0.00000
   -73.74821     0.00000     0.00000     0.00000     0.00000
   -73.73721     0.00000     0.00000     0.00000     0.00000
   -73.72621     0.00000     0.00000     0.00000     0.00000
   -73.71521     0.00000     0.00000     0.00000     0.00000
   -73.70521     0.00000     0.00000     0.00000     0.00000
   -73.69421   182.94549     0.00160     0.00002     0.00105
   -73.68321     0.00000     0.00000     0.00000     0.00000
   -73.67221     0.00000     0.00000     0.00000     0.00000
   -73.66121     0.00000     0.00000     0.00000     0.00000
   -73.65021     0.00000     0.00000     0.00000     0.00000
   -73.63921     0.00000     0.00000     0.00000     0.00000
   -73.62821     0.00000     0.00000     0.00000     0.00000
   -73.61721     0.00000     0.00000     0.00000     0.00000
   -73.60621     0.00000     0.00000     0.00000     0.00000
   -73.59521     0.00000     0.00000     0.00000     0.00000
   -73.58521     0.00000     0.00000     0.00000     0.00000
   -73.57421     0.00000     0.00000     0.00000     0.00000
   -73.56321     0.00000     0.00000     0.00000     0.00000
   -73.55221     0.00000     0.00000     0.00000     0.00000
   -73.54121     0.00000     0.00000     0.00000     0.00000
   -73.53021     0.00000     0.00000     0.00000     0.00000
   -73.51921     0.00000     0.00000     0.00000     0.00000
   -73.50821     0.00000     0.00000     0.00000     0.00000
   -73.49721     0.00000     0.00000     0.00000     0.00000
   -73.48621     0.00000     0.00000     0.00000     0.00000
   -73.47521     0.00000     0.00000     0.00000     0.00000
   -73.46521     0.00000     0.00000     0.00000     0.00000
   -73.45421     0.00000     0.00000     0.00000     0.00000
   -73.44321     0.00000     0.00000     0.00000     0.00000
   -73.43221     0.00000     0.00000     0.00000     0.00000
   -73.42121     0.00000     0.00000     0.00000     0.00000
   -73.41021     0.00000     0.00000     0.00000     0.00000
   -73.39921     0.00000     0.00000     0.00000     0.00000
   -73.38821     0.00000     0.00000     0.00000     0.00000
   -73.37721     0.00000     0.00000     0.00000     0.00000
   -73.36621     0.00000     0.00000     0.00000     0.00000
   -73.35521     0.00000     0.00000     0.00000     0.00000
   -73.34521     0.00000     0.00000     0.00000     0.00000
   -73.33421     0.00000     0.00000     0.00000     0.00000
   -73.32321     0.00000     0.00000     0.00000     0.00000
   -73.31221     0.00000     0.00000     0.00000     0.00000
   -73.30121     0.00000     0.00000     0.00000     0.00000
   -73.29021     0.00000     0.00000     0.00000     0.00000
   -73.27921     0.00000     0.00000     0.00000     0.00000
   -73.26821     0.00000     0.00000     0.00000     0.00000
   -73.25721     0.00000     0.00000     0.00000     0.00000
   -73.24621     0.00000     0.00000     0.00000     0.00000
   -73.23521     0.00000     0.00000     0.00000     0.00000
   -73.22521     0.00000     0.00000     0.00000     0.00000
   -73.21421     0.00000     0.00000     0.00000     0.00000
   -73.20321     0.00000     0.00000     0.00000     0.00000
   -73.19221     0.00000     0.00000     0.00000     0.00000
   -73.18121     0.00000     0.00000     0.00000     0.00000
   -73.17021     0.00000     0.00000     0.00000     0.00000
   -73.15921     0.00000     0.00000     0.00000     0.00000
   -73.14821     0.00000     0.00000     0.00000     0.00000
   -73.13721     0.00000     0.00000     0.00000     0.00000
   -73.12621     0.00000     0.00000     0.00000     0.00000
   -73.11521     0.00000     0.00000     0.00000     0.00000
   -73.10521     0.00000     0.00000     0.00000     0.00000
   -73.09421     0.00000     0.00000     0.00000     0.00000
   -73.08321     0.00000     0.00000     0.00000     0.00000
   -73.07221     0.00000     0.00000     0.00000     0.00000
   -73.06121     0.00000     0.00000     0.00000     0.00000
   -73.05021     0.00000     0.00000     0.00000     0.00000
   -73.03921     0.00000     0.00000     0.00000     0.00000
   -73.02821     0.00000     0.00000     0.00000     0.00000
   -73.01721     0.00000     0.00000     0.00000     0.00000
   -73.00621     0.00000     0.00000     0.00000     0.00000
   -72.99621     0.00000     0.00000     0.00000     0.00000
   -72.98521     0.00000     0.00000     0.00000     0.00000
   -72.97421     0.00000     0.00000     0.00000     0.00000
   -72.96321     0.00000     0.00000     0.00000     0.00000
   -72.95221     0.00000     0.00000     0.00000     0.00000
   -72.94121     0.00000     0.00000     0.00000     0.00000
   -72.93021     0.00000     0.00000     0.00000     0.00000
   -72.91921     0.00000     0.00000     0.00000     0.00000
   -72.90821     0.00000     0.00000     0.00000     0.00000
   -72.89721     0.00000     0.00000     0.00000     0.00000
   -72.88621     0.00000     0.00000     0.00000     0.00000
   -72.87621     0.00000     0.00000     0.00000     0.00000
   -72.86521     0.00000     0.00000     0.00000     0.00000
   -72.85421     0.00000     0.00000     0.00000     0.00000
   -72.84321     0.00000     0.00000     0.00000     0.00000
   -72.83221     0.00000     0.00000     0.00000     0.00000
   -72.82121     0.00000     0.00000     0.00000     0.00000
   -72.81021     0.00000     0.00000     0.00000     0.00000
   -72.79921     0.00000     0.00000     0.00000     0.00000
