     #Energy       W_all      Mo_all      Pt_all      Ti_all
   -74.70532     0.00000     0.00000     0.00000     0.00000
   -74.69432     0.00000     0.00000     0.00000     0.00000
   -74.68432     0.00000     0.00000     0.00000     0.00000
   -74.67332     0.00000     0.00000     0.00000     0.00000
   -74.66232     0.00000     0.00000     0.00000     0.00000
   -74.65232     0.00000     0.00000     0.00000     0.00000
   -74.64132     0.00000     0.00000     0.00000     0.00000
   -74.63032     0.00000     0.00000     0.00000     0.00000
   -74.61932     0.00000     0.00000     0.00000     0.00000
   -74.60932     0.00000     0.00000     0.00000     0.00000
   -74.59832     0.00000     0.00000     0.00000     0.00000
   -74.58732     0.00000     0.00000     0.00000     0.00000
   -74.57732     0.00000     0.00000     0.00000     0.00000
   -74.56632     0.00000     0.00000     0.00000     0.00000
   -74.55532     0.00000     0.00000     0.00000     0.00000
   -74.54532     0.00000     0.00000     0.00000     0.00000
   -74.53432     0.00000     0.00000     0.00000     0.00000
   -74.52332     0.00000     0.00000     0.00000     0.00000
   -74.51332     0.00000     0.00000     0.00000     0.00000
   -74.50232     0.00000     0.00000     0.00000     0.00000
   -74.49132     0.00000     0.00000     0.00000     0.00000
   -74.48132     0.00000     0.00000     0.00000     0.00000
   -74.47032     0.00000     0.00000     0.00000     0.00000
   -74.45932     0.00000     0.00000     0.00000     0.00000
   -74.44932     0.00000     0.00000     0.00000     0.00000
   -74.43832     0.00000     0.00000     0.00000     0.00000
   -74.42732     0.00000     0.00000     0.00000     0.00000
   -74.41732     0.00000     0.00000     0.00000     0.00000
   -74.40632     0.00000     0.00000     0.00000     0.00000
   -74.39532     0.00000     0.00000     0.00000     0.00000
   -74.38532     0.00000     0.00000     0.00000     0.00000
   -74.37432     0.00000     0.00000     0.00000     0.00000
   -74.36332     0.00000     0.00000     0.00000     0.00000
   -74.35332     0.00000     0.00000     0.00000     0.00000
   -74.34232     0.00000     0.00000     0.00000     0.00000
   -74.33132     0.00000     0.00000     0.00000     0.00000
   -74.32132     0.00000     0.00000     0.00000     0.00000
   -74.31032     0.00000     0.00000     0.00000     0.00000
   -74.29932     0.00000     0.00000     0.00000     0.00000
   -74.28932     0.00000     0.00000     0.00000     0.00000
   -74.27832     0.00000     0.00000     0.00000     0.00000
   -74.26732     0.00000     0.00000     0.00000     0.00000
   -74.25732     0.00000     0.00000     0.00000     0.00000
   -74.24632     0.00000     0.00000     0.00000     0.00000
   -74.23532     0.00000     0.00000     0.00000     0.00000
   -74.22532     0.00000     0.00000     0.00000     0.00000
