     #Energy       W_all      Mo_all      Ir_all      Zr_all
   -73.59598     0.00000     0.00000     0.00000     0.00000
   -73.58498     0.00000     0.00000     0.00000     0.00000
   -73.57398     0.00000     0.00000     0.00000     0.00000
   -73.56298     0.00000     0.00000     0.00000     0.00000
   -73.55198     0.00000     0.00000     0.00000     0.00000
   -73.54098     0.00000     0.00000     0.00000     0.00000
   -73.52998     0.00000     0.00000     0.00000     0.00000
   -73.51898     0.00000     0.00000     0.00000     0.00000
   -73.50798     0.00000     0.00000     0.00000     0.00000
   -73.49698     0.00000     0.00000     0.00000     0.00000
   -73.48598     0.00000     0.00000     0.00000     0.00000
   -73.47498     0.00000     0.00000     0.00000     0.00000
   -73.46398     0.00000     0.00000     0.00000     0.00000
   -73.45398     0.00000     0.00000     0.00000     0.00000
   -73.44298     0.00000     0.00000     0.00000     0.00000
   -73.43198     0.00000     0.00000     0.00000     0.00000
   -73.42098     0.00000     0.00000     0.00000     0.00000
   -73.40998     0.00000     0.00000     0.00000     0.00000
   -73.39898     0.00000     0.00000     0.00000     0.00000
   -73.38798     0.00000     0.00000     0.00000     0.00000
   -73.37698     0.00000     0.00000     0.00000     0.00000
   -73.36598     0.00000     0.00000     0.00000     0.00000
   -73.35498     0.00000     0.00000     0.00000     0.00000
   -73.34398     0.00000     0.00000     0.00000     0.00000
   -73.33298     0.00000     0.00000     0.00000     0.00000
   -73.32198     0.00000     0.00000     0.00000     0.00000
   -73.31098     0.00000     0.00000     0.00000     0.00000
   -73.29998     0.00000     0.00000     0.00000     0.00000
   -73.28898     0.00000     0.00000     0.00000     0.00000
   -73.27898     0.00000     0.00000     0.00000     0.00000
   -73.26798     0.00000     0.00000     0.00000     0.00000
   -73.25698     0.00000     0.00000     0.00000     0.00000
   -73.24598     0.00000     0.00000     0.00000     0.00000
   -73.23498     0.00000     0.00000     0.00000     0.00000
   -73.22398     0.00000     0.00000     0.00000     0.00000
   -73.21298     0.00000     0.00000     0.00000     0.00000
   -73.20198     0.00000     0.00000     0.00000     0.00000
   -73.19098     0.00000     0.00000     0.00000     0.00000
   -73.17998     0.00000     0.00000     0.00000     0.00000
   -73.16898     0.00000     0.00000     0.00000     0.00000
   -73.15798     0.00000     0.00000     0.00000     0.00000
   -73.14698     0.00000     0.00000     0.00000     0.00000
   -73.13598     0.00000     0.00000     0.00000     0.00000
   -73.12498     0.00000     0.00000     0.00000     0.00000
   -73.11398     0.00000     0.00000     0.00000     0.00000
   -73.10398     0.00000     0.00000     0.00000     0.00000
   -73.09298     0.00000     0.00000     0.00000     0.00000
   -73.08198     0.00000     0.00000     0.00000     0.00000
   -73.07098     0.00000     0.00000     0.00000     0.00000
   -73.05998     0.00000     0.00000     0.00000     0.00000
   -73.04898     0.00000     0.00000     0.00000     0.00000
   -73.03798     0.00000     0.00000     0.00000     0.00000
   -73.02698     0.00000     0.00000     0.00000     0.00000
