     #Energy       W_all      Mo_all      Ir_all
   -72.31231     0.00000     0.00000     0.00000
   -72.30231     0.00000     0.00000     0.00000
   -72.29131     0.00000     0.00000     0.00000
   -72.28031     0.00000     0.00000     0.00000
   -72.27031     0.00000     0.00000     0.00000
   -72.25931     0.00000     0.00000     0.00000
   -72.24931     0.00000     0.00000     0.00000
   -72.23831     0.00000     0.00000     0.00000
   -72.22731     0.00000     0.00000     0.00000
   -72.21731     0.00000     0.00000     0.00000
   -72.20631     0.00000     0.00000     0.00000
   -72.19531     0.00000     0.00000     0.00000
   -72.18531     0.00000     0.00000     0.00000
   -72.17431     0.00000     0.00000     0.00000
   -72.16431     0.00000     0.00000     0.00000
   -72.15331     0.00000     0.00000     0.00000
   -72.14231     0.00000     0.00000     0.00000
   -72.13231     0.00000     0.00000     0.00000
   -72.12131     0.00000     0.00000     0.00000
   -72.11031     0.00000     0.00000     0.00000
   -72.10031     0.00000     0.00000     0.00000
   -72.08931     0.00000     0.00000     0.00000
   -72.07931     0.00000     0.00000     0.00000
   -72.06831     0.00000     0.00000     0.00000
   -72.05731     0.00000     0.00000     0.00000
   -72.04731     0.00000     0.00000     0.00000
   -72.03631     0.00000     0.00000     0.00000
   -72.02531     0.00000     0.00000     0.00000
   -72.01531     0.00000     0.00000     0.00000
   -72.00431     0.00000     0.00000     0.00000
   -71.99431     0.00000     0.00000     0.00000
   -71.98331     0.00000     0.00000     0.00000
   -71.97231     0.00000     0.00000     0.00000
   -71.96231     0.00000     0.00000     0.00000
   -71.95131     0.00000     0.00000     0.00000
   -71.94131     0.00000     0.00000     0.00000
   -71.93031     0.00000     0.00000     0.00000
   -71.91931     0.00000     0.00000     0.00000
   -71.90931     0.00000     0.00000     0.00000
   -71.89831     0.00000     0.00000     0.00000
   -71.88731     0.00000     0.00000     0.00000
   -71.87731     0.00000     0.00000     0.00000
   -71.86631     0.00000     0.00000     0.00000
   -71.85631     0.00000     0.00000     0.00000
   -71.84531     0.00000     0.00000     0.00000
   -71.83431     0.00000     0.00000     0.00000
   -71.82431     0.00000     0.00000     0.00000
   -71.81331     0.00000     0.00000     0.00000
   -71.80231     0.00000     0.00000     0.00000
   -71.79231     0.00000     0.00000     0.00000
   -71.78131     0.00000     0.00000     0.00000
   -71.77131     0.00000     0.00000     0.00000
   -71.76031     0.00000     0.00000     0.00000
   -71.74931     0.00000     0.00000     0.00000
   -71.73931     0.00000     0.00000     0.00000
   -71.72831     0.00000     0.00000     0.00000
   -71.71731     0.00000     0.00000     0.00000
   -71.70731     0.00000     0.00000     0.00000
   -71.69631     0.00000     0.00000     0.00000
   -71.68631     0.00000     0.00000     0.00000
   -71.67531     0.00000     0.00000     0.00000
   -71.66431     0.00000     0.00000     0.00000
   -71.65431     0.00000     0.00000     0.00000
   -71.64331     0.00000     0.00000     0.00000
   -71.63331     0.00000     0.00000     0.00000
   -71.62231     0.00000     0.00000     0.00000
   -71.61131     0.00000     0.00000     0.00000
   -71.60131     0.00000     0.00000     0.00000
   -71.59031     0.00000     0.00000     0.00000
   -71.57931     0.00000     0.00000     0.00000
   -71.56931     0.00000     0.00000     0.00000
   -71.55831     0.00000     0.00000     0.00000
   -71.54831     0.00000     0.00000     0.00000
   -71.53731     0.00000     0.00000     0.00000
   -71.52631     0.00000     0.00000     0.00000
   -71.51631     0.00000     0.00000     0.00000
   -71.50531     0.00000     0.00000     0.00000
   -71.49431     0.00000     0.00000     0.00000
   -71.48431     0.00000     0.00000     0.00000
   -71.47331     0.00000     0.00000     0.00000
   -71.46331     0.00000     0.00000     0.00000
   -71.45231     0.00000     0.00000     0.00000
   -71.44131     0.00000     0.00000     0.00000
