     #Energy       W_all      Mo_all      Re_all      Hf_all
   -79.30000     0.00000     0.00000     0.00000     0.00000
   -79.28800     0.00000     0.00000     0.00000     0.00000
   -79.27700     0.00000     0.00000     0.00000     0.00000
   -79.26500     0.00000     0.00000     0.00000     0.00000
   -79.25300     0.00000     0.00000     0.00000     0.00000
   -79.24200     0.00000     0.00000     0.00000     0.00000
   -79.23000     0.00000     0.00000     0.00000     0.00000
   -79.21800     0.00000     0.00000     0.00000     0.00000
   -79.20700     0.00000     0.00000     0.00000     0.00000
   -79.19500     0.00000     0.00000     0.00000     0.00000
   -79.18300     0.00000     0.00000     0.00000     0.00000
   -79.17200     0.00000     0.00000     0.00000     0.00000
   -79.16000     0.00000     0.00000     0.00000     0.00000
   -79.14900     0.00000     0.00000     0.00000     0.00000
   -79.13700     0.00000     0.00000     0.00000     0.00000
   -79.12500     0.00000     0.00000     0.00000     0.00000
   -79.11400     0.00000     0.00000     0.00000     0.00000
   -79.10200     0.00000     0.00000     0.00000     0.00000
   -79.09000     0.00000     0.00000     0.00000     0.00000
   -79.07900     0.00000     0.00000     0.00000     0.00000
   -79.06700     0.00000     0.00000     0.00000     0.00000
   -79.05500     0.00000     0.00000     0.00000     0.00000
   -79.04400     0.00000     0.00000     0.00000     0.00000
   -79.03200     0.00000     0.00000     0.00000     0.00000
   -79.02000     0.00000     0.00000     0.00000     0.00000
   -79.00900     0.00000     0.00000     0.00000     0.00000
   -78.99700     0.00000     0.00000     0.00000     0.00000
   -78.98500     0.00000     0.00000     0.00000     0.00000
   -78.97400     0.00000     0.00000     0.00000     0.00000
   -78.96200     0.00000     0.00000     0.00000     0.00000
   -78.95000     0.00000     0.00000     0.00000     0.00000
   -78.93900     0.00000     0.00000     0.00000     0.00000
   -78.92700     0.00000     0.00000     0.00000     0.00000
   -78.91500     0.00000     0.00000     0.00000     0.00000
   -78.90400     0.00000     0.00000     0.00000     0.00000
   -78.89200     0.00000     0.00000     0.00000     0.00000
   -78.88000     0.00000     0.00000     0.00000     0.00000
   -78.86900     0.00000     0.00000     0.00000     0.00000
   -78.85700     0.00000     0.00000     0.00000     0.00000
   -78.84500     0.00000     0.00000     0.00000     0.00000
   -78.83400     0.00000     0.00000     0.00000     0.00000
   -78.82200     0.00000     0.00000     0.00000     0.00000
   -78.81000     0.00000     0.00000     0.00000     0.00000
   -78.79900     0.00000     0.00000     0.00000     0.00000
   -78.78700     0.00000     0.00000     0.00000     0.00000
   -78.77600     0.00000     0.00000     0.00000     0.00000
   -78.76400     0.00000     0.00000     0.00000     0.00000
   -78.75200     0.00000     0.00000     0.00000     0.00000
   -78.74100     0.00000     0.00000     0.00000     0.00000
   -78.72900     0.00000     0.00000     0.00000     0.00000
   -78.71700     0.00000     0.00000     0.00000     0.00000
   -78.70600     0.00000     0.00000     0.00000     0.00000
   -78.69400     0.00000     0.00000     0.00000     0.00000
   -78.68200     0.00000     0.00000     0.00000     0.00000
