     #Energy       W_all      Mo_all      Ru_all
   -75.03192     0.00000     0.00000     0.00000
   -75.02092     0.00000     0.00000     0.00000
   -75.00992     0.00000     0.00000     0.00000
   -74.99892     0.00000     0.00000     0.00000
   -74.98792     0.00000     0.00000     0.00000
   -74.97692     0.00000     0.00000     0.00000
   -74.96592     0.00000     0.00000     0.00000
   -74.95492     0.00000     0.00000     0.00000
   -74.94292     0.00000     0.00000     0.00000
   -74.93192     0.00000     0.00000     0.00000
   -74.92092     0.00000     0.00000     0.00000
   -74.90992     0.00000     0.00000     0.00000
   -74.89892     0.00000     0.00000     0.00000
   -74.88792     0.00000     0.00000     0.00000
   -74.87692     0.00000     0.00000     0.00000
   -74.86592     0.00000     0.00000     0.00000
   -74.85492     0.00000     0.00000     0.00000
   -74.84392     0.00000     0.00000     0.00000
   -74.83292     0.00000     0.00000     0.00000
   -74.82192     0.00000     0.00000     0.00000
   -74.81092     0.00000     0.00000     0.00000
   -74.79992     0.00000     0.00000     0.00000
   -74.78892     0.00000     0.00000     0.00000
   -74.77792     0.00000     0.00000     0.00000
   -74.76692     0.00000     0.00000     0.00000
   -74.75592     0.00000     0.00000     0.00000
   -74.74492     0.00000     0.00000     0.00000
   -74.73392     0.00000     0.00000     0.00000
   -74.72292     0.00000     0.00000     0.00000
   -74.71192     0.00000     0.00000     0.00000
   -74.69992     0.00000     0.00000     0.00000
   -74.68892     0.00000     0.00000     0.00000
   -74.67792     0.00000     0.00000     0.00000
   -74.66692     0.00000     0.00000     0.00000
   -74.65592     0.00000     0.00000     0.00000
   -74.64492     0.00000     0.00000     0.00000
   -74.63392     0.00000     0.00000     0.00000
   -74.62292     0.00000     0.00000     0.00000
   -74.61192     0.00000     0.00000     0.00000
   -74.60092     0.00000     0.00000     0.00000
   -74.58992     0.00000     0.00000     0.00000
   -74.57892     0.00000     0.00000     0.00000
   -74.56792     0.00000     0.00000     0.00000
   -74.55692     0.00000     0.00000     0.00000
   -74.54592     0.00000     0.00000     0.00000
   -74.53492     0.00000     0.00000     0.00000
   -74.52392     0.00000     0.00000     0.00000
   -74.51292     0.00000     0.00000     0.00000
   -74.50192     0.00000     0.00000     0.00000
   -74.49092     0.00000     0.00000     0.00000
   -74.47992     0.00000     0.00000     0.00000
   -74.46892     0.00000     0.00000     0.00000
   -74.45692     0.00000     0.00000     0.00000
   -74.44592     0.00000     0.00000     0.00000
   -74.43492     0.00000     0.00000     0.00000
   -74.42392     0.00000     0.00000     0.00000
   -74.41292     0.00000     0.00000     0.00000
   -74.40192     0.00000     0.00000     0.00000
   -74.39092     0.00000     0.00000     0.00000
   -74.37992     0.00000     0.00000     0.00000
   -74.36892     0.00000     0.00000     0.00000
   -74.35792     0.00000     0.00000     0.00000
   -74.34692     0.00000     0.00000     0.00000
   -74.33592     0.00000     0.00000     0.00000
   -74.32492     0.00000     0.00000     0.00000
   -74.31392     0.00000     0.00000     0.00000
   -74.30292     0.00000     0.00000     0.00000
   -74.29192     0.00000     0.00000     0.00000
   -74.28092     0.00000     0.00000     0.00000
   -74.26992     0.00000     0.00000     0.00000
   -74.25892     0.00000     0.00000     0.00000
   -74.24792   180.52253     0.00860     0.00288
   -74.23692     0.00000     0.00000     0.00000
   -74.22592   180.59807     0.00563     0.00315
   -74.21392   180.55420     0.00621     0.00267
   -74.20292   180.63896     0.00660     0.00223
   -74.19192   180.60519     0.00775     0.00182
   -74.18092   361.15716     0.01395     0.00301
   -74.16992     0.00000     0.00000     0.00000
   -74.15892   180.62479     0.00533     0.00079
   -74.14792   180.57247     0.00790     0.00102
   -74.13692   180.56442     0.00916     0.00003
   -74.12592   180.60381     0.00444     0.00149
   -74.11492   180.63433     0.00426     0.00125
   -74.10392   180.64739     0.00443     0.00117
   -74.09292     0.00000     0.00000     0.00000
   -74.08192   361.33601     0.00995     0.00271
   -74.07092   361.27074     0.01352     0.00042
   -74.05992     0.00000     0.00000     0.00000
   -74.04892   180.63818     0.00501     0.00074
   -74.03792   180.66520     0.00717     0.00008
   -74.02692   180.70551     0.00702     0.00007
   -74.01592     0.00000     0.00000     0.00000
   -74.00492   180.66446     0.00390     0.00005
   -73.99392   361.28183     0.01322     0.00013
