     #Energy       W_all      Mo_all      Ti_all      Ir_all
   -75.31882     0.00000     0.00000     0.00000     0.00000
   -75.30782     0.00000     0.00000     0.00000     0.00000
   -75.29682     0.00000     0.00000     0.00000     0.00000
   -75.28682     0.00000     0.00000     0.00000     0.00000
   -75.27582     0.00000     0.00000     0.00000     0.00000
   -75.26482     0.00000     0.00000     0.00000     0.00000
   -75.25482     0.00000     0.00000     0.00000     0.00000
   -75.24382     0.00000     0.00000     0.00000     0.00000
   -75.23282     0.00000     0.00000     0.00000     0.00000
   -75.22282     0.00000     0.00000     0.00000     0.00000
   -75.21182     0.00000     0.00000     0.00000     0.00000
   -75.20082     0.00000     0.00000     0.00000     0.00000
   -75.19082     0.00000     0.00000     0.00000     0.00000
   -75.17982     0.00000     0.00000     0.00000     0.00000
   -75.16882     0.00000     0.00000     0.00000     0.00000
   -75.15882     0.00000     0.00000     0.00000     0.00000
   -75.14782     0.00000     0.00000     0.00000     0.00000
   -75.13682     0.00000     0.00000     0.00000     0.00000
   -75.12682     0.00000     0.00000     0.00000     0.00000
   -75.11582     0.00000     0.00000     0.00000     0.00000
   -75.10482     0.00000     0.00000     0.00000     0.00000
   -75.09482     0.00000     0.00000     0.00000     0.00000
   -75.08382     0.00000     0.00000     0.00000     0.00000
   -75.07282     0.00000     0.00000     0.00000     0.00000
   -75.06282     0.00000     0.00000     0.00000     0.00000
   -75.05182     0.00000     0.00000     0.00000     0.00000
   -75.04082     0.00000     0.00000     0.00000     0.00000
   -75.03082     0.00000     0.00000     0.00000     0.00000
   -75.01982     0.00000     0.00000     0.00000     0.00000
   -75.00882     0.00000     0.00000     0.00000     0.00000
   -74.99882     0.00000     0.00000     0.00000     0.00000
   -74.98782     0.00000     0.00000     0.00000     0.00000
   -74.97682     0.00000     0.00000     0.00000     0.00000
   -74.96682     0.00000     0.00000     0.00000     0.00000
   -74.95582     0.00000     0.00000     0.00000     0.00000
   -74.94482     0.00000     0.00000     0.00000     0.00000
   -74.93482     0.00000     0.00000     0.00000     0.00000
   -74.92382     0.00000     0.00000     0.00000     0.00000
   -74.91282     0.00000     0.00000     0.00000     0.00000
   -74.90282     0.00000     0.00000     0.00000     0.00000
   -74.89182     0.00000     0.00000     0.00000     0.00000
   -74.88082     0.00000     0.00000     0.00000     0.00000
   -74.87082     0.00000     0.00000     0.00000     0.00000
   -74.85982     0.00000     0.00000     0.00000     0.00000
   -74.84882     0.00000     0.00000     0.00000     0.00000
   -74.83882     0.00000     0.00000     0.00000     0.00000
   -74.82782     0.00000     0.00000     0.00000     0.00000
   -74.81682     0.00000     0.00000     0.00000     0.00000
   -74.80682     0.00000     0.00000     0.00000     0.00000
   -74.79582     0.00000     0.00000     0.00000     0.00000
   -74.78582     0.00000     0.00000     0.00000     0.00000
   -74.77482     0.00000     0.00000     0.00000     0.00000
   -74.76382     0.00000     0.00000     0.00000     0.00000
   -74.75382     0.00000     0.00000     0.00000     0.00000
   -74.74282     0.00000     0.00000     0.00000     0.00000
   -74.73182     0.00000     0.00000     0.00000     0.00000
   -74.72182     0.00000     0.00000     0.00000     0.00000
   -74.71082     0.00000     0.00000     0.00000     0.00000
   -74.69982     0.00000     0.00000     0.00000     0.00000
   -74.68982     0.00000     0.00000     0.00000     0.00000
   -74.67882     0.00000     0.00000     0.00000     0.00000
   -74.66782     0.00000     0.00000     0.00000     0.00000
   -74.65782     0.00000     0.00000     0.00000     0.00000
   -74.64682     0.00000     0.00000     0.00000     0.00000
   -74.63582     0.00000     0.00000     0.00000     0.00000
   -74.62582     0.00000     0.00000     0.00000     0.00000
   -74.61482     0.00000     0.00000     0.00000     0.00000
   -74.60382     0.00000     0.00000     0.00000     0.00000
   -74.59382     0.00000     0.00000     0.00000     0.00000
   -74.58282     0.00000     0.00000     0.00000     0.00000
   -74.57182     0.00000     0.00000     0.00000     0.00000
   -74.56182     0.00000     0.00000     0.00000     0.00000
   -74.55082     0.00000     0.00000     0.00000     0.00000
   -74.53982     0.00000     0.00000     0.00000     0.00000
   -74.52982     0.00000     0.00000     0.00000     0.00000
   -74.51882     0.00000     0.00000     0.00000     0.00000
   -74.50782     0.00000     0.00000     0.00000     0.00000
   -74.49782     0.00000     0.00000     0.00000     0.00000
   -74.48682     0.00000     0.00000     0.00000     0.00000
   -74.47582     0.00000     0.00000     0.00000     0.00000
   -74.46582     0.00000     0.00000     0.00000     0.00000
   -74.45482     0.00000     0.00000     0.00000     0.00000
   -74.44382     0.00000     0.00000     0.00000     0.00000
   -74.43382     0.00000     0.00000     0.00000     0.00000
   -74.42282     0.00000     0.00000     0.00000     0.00000
   -74.41182     0.00000     0.00000     0.00000     0.00000
   -74.40182     0.00000     0.00000     0.00000     0.00000
   -74.39082     0.00000     0.00000     0.00000     0.00000
   -74.37982     0.00000     0.00000     0.00000     0.00000
   -74.36982     0.00000     0.00000     0.00000     0.00000
   -74.35882     0.00000     0.00000     0.00000     0.00000
   -74.34782     0.00000     0.00000     0.00000     0.00000
   -74.33782     0.00000     0.00000     0.00000     0.00000
   -74.32682     0.00000     0.00000     0.00000     0.00000
   -74.31582     0.00000     0.00000     0.00000     0.00000
   -74.30582     0.00000     0.00000     0.00000     0.00000
   -74.29482     0.00000     0.00000     0.00000     0.00000
   -74.28382     0.00000     0.00000     0.00000     0.00000
   -74.27382     0.00000     0.00000     0.00000     0.00000
   -74.26282     0.00000     0.00000     0.00000     0.00000
   -74.25182     0.00000     0.00000     0.00000     0.00000
   -74.24182     0.00000     0.00000     0.00000     0.00000
   -74.23082   187.14915     0.00576     0.00152     0.01390
   -74.21982   187.16763     0.01227     0.00000     0.00441
   -74.20982     0.00000     0.00000     0.00000     0.00000
   -74.19882     0.00000     0.00000     0.00000     0.00000
   -74.18782   187.10987     0.00327     0.00002     0.00960
   -74.17782   374.18587     0.01253     0.00005     0.01299
   -74.16682     0.00000     0.00000     0.00000     0.00000
   -74.15682     0.00000     0.00000     0.00000     0.00000
   -74.14582     0.00000     0.00000     0.00000     0.00000
   -74.13482     0.00000     0.00000     0.00000     0.00000
   -74.12482   187.02511     0.00725     0.00011     0.00287
   -74.11382   187.13200     0.01153     0.00002     0.00140
   -74.10282     0.00000     0.00000     0.00000     0.00000
