     #Energy       W_all      Mo_all      Os_all      Ti_all
   -76.04323     0.00000     0.00000     0.00000     0.00000
   -76.03223     0.00000     0.00000     0.00000     0.00000
   -76.02123     0.00000     0.00000     0.00000     0.00000
   -76.01023     0.00000     0.00000     0.00000     0.00000
   -76.00023     0.00000     0.00000     0.00000     0.00000
   -75.98923     0.00000     0.00000     0.00000     0.00000
   -75.97823     0.00000     0.00000     0.00000     0.00000
   -75.96723     0.00000     0.00000     0.00000     0.00000
   -75.95623     0.00000     0.00000     0.00000     0.00000
   -75.94523     0.00000     0.00000     0.00000     0.00000
   -75.93423     0.00000     0.00000     0.00000     0.00000
   -75.92323     0.00000     0.00000     0.00000     0.00000
   -75.91323     0.00000     0.00000     0.00000     0.00000
   -75.90223     0.00000     0.00000     0.00000     0.00000
   -75.89123     0.00000     0.00000     0.00000     0.00000
   -75.88023     0.00000     0.00000     0.00000     0.00000
   -75.86923     0.00000     0.00000     0.00000     0.00000
   -75.85823     0.00000     0.00000     0.00000     0.00000
   -75.84723     0.00000     0.00000     0.00000     0.00000
   -75.83723     0.00000     0.00000     0.00000     0.00000
   -75.82623     0.00000     0.00000     0.00000     0.00000
   -75.81523     0.00000     0.00000     0.00000     0.00000
   -75.80423     0.00000     0.00000     0.00000     0.00000
   -75.79323     0.00000     0.00000     0.00000     0.00000
   -75.78223     0.00000     0.00000     0.00000     0.00000
   -75.77123     0.00000     0.00000     0.00000     0.00000
   -75.76023     0.00000     0.00000     0.00000     0.00000
   -75.75023     0.00000     0.00000     0.00000     0.00000
   -75.73923     0.00000     0.00000     0.00000     0.00000
   -75.72823     0.00000     0.00000     0.00000     0.00000
   -75.71723     0.00000     0.00000     0.00000     0.00000
   -75.70623     0.00000     0.00000     0.00000     0.00000
   -75.69523     0.00000     0.00000     0.00000     0.00000
   -75.68423     0.00000     0.00000     0.00000     0.00000
   -75.67323     0.00000     0.00000     0.00000     0.00000
   -75.66323     0.00000     0.00000     0.00000     0.00000
   -75.65223     0.00000     0.00000     0.00000     0.00000
   -75.64123     0.00000     0.00000     0.00000     0.00000
   -75.63023     0.00000     0.00000     0.00000     0.00000
   -75.61923     0.00000     0.00000     0.00000     0.00000
   -75.60823     0.00000     0.00000     0.00000     0.00000
   -75.59723     0.00000     0.00000     0.00000     0.00000
   -75.58723     0.00000     0.00000     0.00000     0.00000
   -75.57623     0.00000     0.00000     0.00000     0.00000
   -75.56523     0.00000     0.00000     0.00000     0.00000
   -75.55423     0.00000     0.00000     0.00000     0.00000
   -75.54323     0.00000     0.00000     0.00000     0.00000
   -75.53223     0.00000     0.00000     0.00000     0.00000
   -75.52123     0.00000     0.00000     0.00000     0.00000
   -75.51023     0.00000     0.00000     0.00000     0.00000
   -75.50023     0.00000     0.00000     0.00000     0.00000
   -75.48923     0.00000     0.00000     0.00000     0.00000
   -75.47823     0.00000     0.00000     0.00000     0.00000
   -75.46723     0.00000     0.00000     0.00000     0.00000
   -75.45623     0.00000     0.00000     0.00000     0.00000
   -75.44523     0.00000     0.00000     0.00000     0.00000
   -75.43423     0.00000     0.00000     0.00000     0.00000
   -75.42323     0.00000     0.00000     0.00000     0.00000
   -75.41323     0.00000     0.00000     0.00000     0.00000
   -75.40223     0.00000     0.00000     0.00000     0.00000
