     #Energy       W_all      Mo_all      Rh_all
   -71.78709     0.00000     0.00000     0.00000
   -71.77609     0.00000     0.00000     0.00000
   -71.76509     0.00000     0.00000     0.00000
   -71.75409     0.00000     0.00000     0.00000
   -71.74309     0.00000     0.00000     0.00000
   -71.73209     0.00000     0.00000     0.00000
   -71.72109     0.00000     0.00000     0.00000
   -71.70909     0.00000     0.00000     0.00000
   -71.69809     0.00000     0.00000     0.00000
   -71.68709     0.00000     0.00000     0.00000
   -71.67609     0.00000     0.00000     0.00000
   -71.66509     0.00000     0.00000     0.00000
   -71.65409     0.00000     0.00000     0.00000
   -71.64309     0.00000     0.00000     0.00000
   -71.63209     0.00000     0.00000     0.00000
   -71.62009     0.00000     0.00000     0.00000
   -71.60909     0.00000     0.00000     0.00000
   -71.59809     0.00000     0.00000     0.00000
   -71.58709     0.00000     0.00000     0.00000
   -71.57609     0.00000     0.00000     0.00000
   -71.56509     0.00000     0.00000     0.00000
   -71.55409     0.00000     0.00000     0.00000
   -71.54309     0.00000     0.00000     0.00000
   -71.53209     0.00000     0.00000     0.00000
   -71.52009     0.00000     0.00000     0.00000
   -71.50909     0.00000     0.00000     0.00000
   -71.49809     0.00000     0.00000     0.00000
   -71.48709     0.00000     0.00000     0.00000
   -71.47609     0.00000     0.00000     0.00000
   -71.46509     0.00000     0.00000     0.00000
   -71.45409     0.00000     0.00000     0.00000
   -71.44309     0.00000     0.00000     0.00000
   -71.43109     0.00000     0.00000     0.00000
   -71.42009     0.00000     0.00000     0.00000
   -71.40909     0.00000     0.00000     0.00000
   -71.39809     0.00000     0.00000     0.00000
   -71.38709     0.00000     0.00000     0.00000
   -71.37609     0.00000     0.00000     0.00000
   -71.36509     0.00000     0.00000     0.00000
   -71.35409     0.00000     0.00000     0.00000
   -71.34209     0.00000     0.00000     0.00000
   -71.33109     0.00000     0.00000     0.00000
   -71.32009     0.00000     0.00000     0.00000
   -71.30909     0.00000     0.00000     0.00000
   -71.29809     0.00000     0.00000     0.00000
   -71.28709     0.00000     0.00000     0.00000
   -71.27609     0.00000     0.00000     0.00000
   -71.26509     0.00000     0.00000     0.00000
   -71.25309     0.00000     0.00000     0.00000
   -71.24209     0.00000     0.00000     0.00000
   -71.23109     0.00000     0.00000     0.00000
   -71.22009     0.00000     0.00000     0.00000
