     #Energy       W_all      Mo_all      Ti_all      Ru_all
   -75.13750     0.00000     0.00000     0.00000     0.00000
   -75.12650     0.00000     0.00000     0.00000     0.00000
   -75.11450     0.00000     0.00000     0.00000     0.00000
   -75.10350     0.00000     0.00000     0.00000     0.00000
   -75.09250     0.00000     0.00000     0.00000     0.00000
   -75.08150     0.00000     0.00000     0.00000     0.00000
   -75.07050     0.00000     0.00000     0.00000     0.00000
   -75.05950     0.00000     0.00000     0.00000     0.00000
   -75.04850     0.00000     0.00000     0.00000     0.00000
   -75.03750     0.00000     0.00000     0.00000     0.00000
   -75.02650     0.00000     0.00000     0.00000     0.00000
   -75.01450     0.00000     0.00000     0.00000     0.00000
   -75.00350     0.00000     0.00000     0.00000     0.00000
   -74.99250     0.00000     0.00000     0.00000     0.00000
   -74.98150     0.00000     0.00000     0.00000     0.00000
   -74.97050     0.00000     0.00000     0.00000     0.00000
   -74.95950     0.00000     0.00000     0.00000     0.00000
   -74.94850     0.00000     0.00000     0.00000     0.00000
   -74.93750     0.00000     0.00000     0.00000     0.00000
   -74.92550     0.00000     0.00000     0.00000     0.00000
   -74.91450     0.00000     0.00000     0.00000     0.00000
   -74.90350     0.00000     0.00000     0.00000     0.00000
   -74.89250     0.00000     0.00000     0.00000     0.00000
   -74.88150     0.00000     0.00000     0.00000     0.00000
   -74.87050     0.00000     0.00000     0.00000     0.00000
   -74.85950     0.00000     0.00000     0.00000     0.00000
   -74.84850     0.00000     0.00000     0.00000     0.00000
   -74.83750     0.00000     0.00000     0.00000     0.00000
   -74.82550     0.00000     0.00000     0.00000     0.00000
   -74.81450     0.00000     0.00000     0.00000     0.00000
   -74.80350     0.00000     0.00000     0.00000     0.00000
   -74.79250     0.00000     0.00000     0.00000     0.00000
   -74.78150     0.00000     0.00000     0.00000     0.00000
   -74.77050     0.00000     0.00000     0.00000     0.00000
   -74.75950     0.00000     0.00000     0.00000     0.00000
   -74.74850     0.00000     0.00000     0.00000     0.00000
   -74.73650     0.00000     0.00000     0.00000     0.00000
   -74.72550     0.00000     0.00000     0.00000     0.00000
   -74.71450     0.00000     0.00000     0.00000     0.00000
   -74.70350     0.00000     0.00000     0.00000     0.00000
   -74.69250     0.00000     0.00000     0.00000     0.00000
   -74.68150     0.00000     0.00000     0.00000     0.00000
   -74.67050     0.00000     0.00000     0.00000     0.00000
   -74.65950     0.00000     0.00000     0.00000     0.00000
   -74.64750     0.00000     0.00000     0.00000     0.00000
   -74.63650     0.00000     0.00000     0.00000     0.00000
   -74.62550     0.00000     0.00000     0.00000     0.00000
   -74.61450     0.00000     0.00000     0.00000     0.00000
   -74.60350     0.00000     0.00000     0.00000     0.00000
   -74.59250     0.00000     0.00000     0.00000     0.00000
   -74.58150     0.00000     0.00000     0.00000     0.00000
   -74.57050     0.00000     0.00000     0.00000     0.00000
   -74.55950     0.00000     0.00000     0.00000     0.00000
   -74.54750     0.00000     0.00000     0.00000     0.00000
   -74.53650     0.00000     0.00000     0.00000     0.00000
   -74.52550     0.00000     0.00000     0.00000     0.00000
   -74.51450     0.00000     0.00000     0.00000     0.00000
   -74.50350     0.00000     0.00000     0.00000     0.00000
   -74.49250     0.00000     0.00000     0.00000     0.00000
   -74.48150     0.00000     0.00000     0.00000     0.00000
   -74.47050     0.00000     0.00000     0.00000     0.00000
   -74.45850     0.00000     0.00000     0.00000     0.00000
   -74.44750     0.00000     0.00000     0.00000     0.00000
   -74.43650     0.00000     0.00000     0.00000     0.00000
   -74.42550     0.00000     0.00000     0.00000     0.00000
   -74.41450     0.00000     0.00000     0.00000     0.00000
   -74.40350     0.00000     0.00000     0.00000     0.00000
   -74.39250     0.00000     0.00000     0.00000     0.00000
   -74.38150     0.00000     0.00000     0.00000     0.00000
   -74.37050     0.00000     0.00000     0.00000     0.00000
   -74.35850     0.00000     0.00000     0.00000     0.00000
   -74.34750   179.37611     0.00463     0.00003     0.00991
   -74.33650     0.00000     0.00000     0.00000     0.00000
   -74.32550     0.00000     0.00000     0.00000     0.00000
   -74.31450     0.00000     0.00000     0.00000     0.00000
   -74.30350     0.00000     0.00000     0.00000     0.00000
   -74.29250     0.00000     0.00000     0.00000     0.00000
   -74.28150     0.00000     0.00000     0.00000     0.00000
   -74.26950     0.00000     0.00000     0.00000     0.00000
   -74.25850     0.00000     0.00000     0.00000     0.00000
   -74.24750     0.00000     0.00000     0.00000     0.00000
   -74.23650     0.00000     0.00000     0.00000     0.00000
   -74.22550     0.00000     0.00000     0.00000     0.00000
   -74.21450     0.00000     0.00000     0.00000     0.00000
   -74.20350     0.00000     0.00000     0.00000     0.00000
   -74.19250     0.00000     0.00000     0.00000     0.00000
   -74.18050     0.00000     0.00000     0.00000     0.00000
   -74.16950     0.00000     0.00000     0.00000     0.00000
