     #Energy       W_all      Mo_all      Ti_all
   -74.17662     0.00000     0.00000     0.00000
   -74.16662     0.00000     0.00000     0.00000
   -74.15562     0.00000     0.00000     0.00000
   -74.14462     0.00000     0.00000     0.00000
   -74.13462     0.00000     0.00000     0.00000
   -74.12362     0.00000     0.00000     0.00000
   -74.11362     0.00000     0.00000     0.00000
   -74.10262     0.00000     0.00000     0.00000
   -74.09262     0.00000     0.00000     0.00000
   -74.08162     0.00000     0.00000     0.00000
   -74.07062     0.00000     0.00000     0.00000
   -74.06062     0.00000     0.00000     0.00000
   -74.04962     0.00000     0.00000     0.00000
   -74.03962     0.00000     0.00000     0.00000
   -74.02862     0.00000     0.00000     0.00000
   -74.01862     0.00000     0.00000     0.00000
   -74.00762     0.00000     0.00000     0.00000
   -73.99662     0.00000     0.00000     0.00000
   -73.98662     0.00000     0.00000     0.00000
   -73.97562     0.00000     0.00000     0.00000
   -73.96562     0.00000     0.00000     0.00000
   -73.95462     0.00000     0.00000     0.00000
   -73.94462     0.00000     0.00000     0.00000
   -73.93362     0.00000     0.00000     0.00000
   -73.92262     0.00000     0.00000     0.00000
   -73.91262     0.00000     0.00000     0.00000
   -73.90162     0.00000     0.00000     0.00000
