     #Energy       W_all      Mo_all      Ti_all      Re_all
   -79.48072     0.00000     0.00000     0.00000     0.00000
   -79.46972     0.00000     0.00000     0.00000     0.00000
   -79.45772     0.00000     0.00000     0.00000     0.00000
   -79.44672     0.00000     0.00000     0.00000     0.00000
   -79.43572     0.00000     0.00000     0.00000     0.00000
   -79.42372     0.00000     0.00000     0.00000     0.00000
   -79.41272     0.00000     0.00000     0.00000     0.00000
   -79.40072     0.00000     0.00000     0.00000     0.00000
   -79.38972     0.00000     0.00000     0.00000     0.00000
   -79.37772     0.00000     0.00000     0.00000     0.00000
   -79.36672     0.00000     0.00000     0.00000     0.00000
   -79.35472     0.00000     0.00000     0.00000     0.00000
   -79.34372     0.00000     0.00000     0.00000     0.00000
   -79.33272     0.00000     0.00000     0.00000     0.00000
   -79.32072     0.00000     0.00000     0.00000     0.00000
   -79.30972     0.00000     0.00000     0.00000     0.00000
   -79.29772     0.00000     0.00000     0.00000     0.00000
   -79.28672     0.00000     0.00000     0.00000     0.00000
   -79.27472     0.00000     0.00000     0.00000     0.00000
   -79.26372     0.00000     0.00000     0.00000     0.00000
   -79.25272     0.00000     0.00000     0.00000     0.00000
   -79.24072     0.00000     0.00000     0.00000     0.00000
   -79.22972     0.00000     0.00000     0.00000     0.00000
   -79.21772     0.00000     0.00000     0.00000     0.00000
   -79.20672     0.00000     0.00000     0.00000     0.00000
   -79.19472     0.00000     0.00000     0.00000     0.00000
   -79.18372     0.00000     0.00000     0.00000     0.00000
   -79.17172     0.00000     0.00000     0.00000     0.00000
   -79.16072     0.00000     0.00000     0.00000     0.00000
   -79.14972     0.00000     0.00000     0.00000     0.00000
   -79.13772     0.00000     0.00000     0.00000     0.00000
   -79.12672     0.00000     0.00000     0.00000     0.00000
   -79.11472     0.00000     0.00000     0.00000     0.00000
   -79.10372     0.00000     0.00000     0.00000     0.00000
   -79.09172     0.00000     0.00000     0.00000     0.00000
   -79.08072     0.00000     0.00000     0.00000     0.00000
   -79.06972     0.00000     0.00000     0.00000     0.00000
   -79.05772     0.00000     0.00000     0.00000     0.00000
   -79.04672     0.00000     0.00000     0.00000     0.00000
   -79.03472     0.00000     0.00000     0.00000     0.00000
   -79.02372     0.00000     0.00000     0.00000     0.00000
   -79.01172     0.00000     0.00000     0.00000     0.00000
   -79.00072     0.00000     0.00000     0.00000     0.00000
   -78.98872     0.00000     0.00000     0.00000     0.00000
   -78.97772     0.00000     0.00000     0.00000     0.00000
   -78.96672     0.00000     0.00000     0.00000     0.00000
   -78.95472     0.00000     0.00000     0.00000     0.00000
   -78.94372     0.00000     0.00000     0.00000     0.00000
   -78.93172     0.00000     0.00000     0.00000     0.00000
   -78.92072     0.00000     0.00000     0.00000     0.00000
   -78.90872     0.00000     0.00000     0.00000     0.00000
   -78.89772     0.00000     0.00000     0.00000     0.00000
   -78.88672     0.00000     0.00000     0.00000     0.00000
   -78.87472     0.00000     0.00000     0.00000     0.00000
   -78.86372     0.00000     0.00000     0.00000     0.00000
   -78.85172     0.00000     0.00000     0.00000     0.00000
   -78.84072     0.00000     0.00000     0.00000     0.00000
   -78.82872     0.00000     0.00000     0.00000     0.00000
   -78.81772     0.00000     0.00000     0.00000     0.00000
   -78.80672     0.00000     0.00000     0.00000     0.00000
   -78.79472     0.00000     0.00000     0.00000     0.00000
   -78.78372     0.00000     0.00000     0.00000     0.00000
   -78.77172     0.00000     0.00000     0.00000     0.00000
   -78.76072     0.00000     0.00000     0.00000     0.00000
   -78.74872     0.00000     0.00000     0.00000     0.00000
   -78.73772     0.00000     0.00000     0.00000     0.00000
   -78.72572     0.00000     0.00000     0.00000     0.00000
   -78.71472     0.00000     0.00000     0.00000     0.00000
   -78.70372     0.00000     0.00000     0.00000     0.00000
   -78.69172     0.00000     0.00000     0.00000     0.00000
   -78.68072     0.00000     0.00000     0.00000     0.00000
   -78.66872     0.00000     0.00000     0.00000     0.00000
   -78.65772     0.00000     0.00000     0.00000     0.00000
   -78.64572     0.00000     0.00000     0.00000     0.00000
   -78.63472     0.00000     0.00000     0.00000     0.00000
   -78.62372     0.00000     0.00000     0.00000     0.00000
   -78.61172     0.00000     0.00000     0.00000     0.00000
   -78.60072     0.00000     0.00000     0.00000     0.00000
   -78.58872     0.00000     0.00000     0.00000     0.00000
   -78.57772     0.00000     0.00000     0.00000     0.00000
   -78.56572     0.00000     0.00000     0.00000     0.00000
   -78.55472     0.00000     0.00000     0.00000     0.00000
   -78.54272     0.00000     0.00000     0.00000     0.00000
   -78.53172     0.00000     0.00000     0.00000     0.00000
   -78.52072     0.00000     0.00000     0.00000     0.00000
   -78.50872     0.00000     0.00000     0.00000     0.00000
   -78.49772     0.00000     0.00000     0.00000     0.00000
