     #Energy       W_all      Mo_all      Rh_all      Hf_all
   -76.57073     0.00000     0.00000     0.00000     0.00000
   -76.55973     0.00000     0.00000     0.00000     0.00000
   -76.54873     0.00000     0.00000     0.00000     0.00000
   -76.53873     0.00000     0.00000     0.00000     0.00000
   -76.52773     0.00000     0.00000     0.00000     0.00000
   -76.51673     0.00000     0.00000     0.00000     0.00000
   -76.50573     0.00000     0.00000     0.00000     0.00000
   -76.49473     0.00000     0.00000     0.00000     0.00000
   -76.48373     0.00000     0.00000     0.00000     0.00000
   -76.47373     0.00000     0.00000     0.00000     0.00000
   -76.46273     0.00000     0.00000     0.00000     0.00000
   -76.45173     0.00000     0.00000     0.00000     0.00000
   -76.44073     0.00000     0.00000     0.00000     0.00000
   -76.42973     0.00000     0.00000     0.00000     0.00000
   -76.41973     0.00000     0.00000     0.00000     0.00000
   -76.40873     0.00000     0.00000     0.00000     0.00000
   -76.39773     0.00000     0.00000     0.00000     0.00000
   -76.38673     0.00000     0.00000     0.00000     0.00000
   -76.37573     0.00000     0.00000     0.00000     0.00000
   -76.36473     0.00000     0.00000     0.00000     0.00000
   -76.35473     0.00000     0.00000     0.00000     0.00000
   -76.34373     0.00000     0.00000     0.00000     0.00000
   -76.33273     0.00000     0.00000     0.00000     0.00000
   -76.32173     0.00000     0.00000     0.00000     0.00000
   -76.31073     0.00000     0.00000     0.00000     0.00000
   -76.29973     0.00000     0.00000     0.00000     0.00000
   -76.28973     0.00000     0.00000     0.00000     0.00000
   -76.27873     0.00000     0.00000     0.00000     0.00000
   -76.26773     0.00000     0.00000     0.00000     0.00000
   -76.25673     0.00000     0.00000     0.00000     0.00000
   -76.24573     0.00000     0.00000     0.00000     0.00000
   -76.23573     0.00000     0.00000     0.00000     0.00000
   -76.22473     0.00000     0.00000     0.00000     0.00000
   -76.21373     0.00000     0.00000     0.00000     0.00000
   -76.20273     0.00000     0.00000     0.00000     0.00000
   -76.19173     0.00000     0.00000     0.00000     0.00000
   -76.18073     0.00000     0.00000     0.00000     0.00000
   -76.17073     0.00000     0.00000     0.00000     0.00000
   -76.15973     0.00000     0.00000     0.00000     0.00000
   -76.14873     0.00000     0.00000     0.00000     0.00000
   -76.13773     0.00000     0.00000     0.00000     0.00000
   -76.12673     0.00000     0.00000     0.00000     0.00000
   -76.11573     0.00000     0.00000     0.00000     0.00000
   -76.10573     0.00000     0.00000     0.00000     0.00000
   -76.09473     0.00000     0.00000     0.00000     0.00000
   -76.08373     0.00000     0.00000     0.00000     0.00000
   -76.07273     0.00000     0.00000     0.00000     0.00000
   -76.06173     0.00000     0.00000     0.00000     0.00000
   -76.05073     0.00000     0.00000     0.00000     0.00000
   -76.04073     0.00000     0.00000     0.00000     0.00000
   -76.02973     0.00000     0.00000     0.00000     0.00000
   -76.01873     0.00000     0.00000     0.00000     0.00000
   -76.00773     0.00000     0.00000     0.00000     0.00000
   -75.99673     0.00000     0.00000     0.00000     0.00000
   -75.98673     0.00000     0.00000     0.00000     0.00000
   -75.97573     0.00000     0.00000     0.00000     0.00000
   -75.96473     0.00000     0.00000     0.00000     0.00000
