     #Energy       W_all      Mo_all      Ru_all      Zr_all
   -75.58078     0.00000     0.00000     0.00000     0.00000
   -75.57078     0.00000     0.00000     0.00000     0.00000
   -75.55978     0.00000     0.00000     0.00000     0.00000
   -75.54878     0.00000     0.00000     0.00000     0.00000
   -75.53778     0.00000     0.00000     0.00000     0.00000
   -75.52778     0.00000     0.00000     0.00000     0.00000
   -75.51678     0.00000     0.00000     0.00000     0.00000
   -75.50578     0.00000     0.00000     0.00000     0.00000
   -75.49478     0.00000     0.00000     0.00000     0.00000
   -75.48478     0.00000     0.00000     0.00000     0.00000
   -75.47378     0.00000     0.00000     0.00000     0.00000
   -75.46278     0.00000     0.00000     0.00000     0.00000
   -75.45178     0.00000     0.00000     0.00000     0.00000
   -75.44178     0.00000     0.00000     0.00000     0.00000
   -75.43078     0.00000     0.00000     0.00000     0.00000
   -75.41978     0.00000     0.00000     0.00000     0.00000
   -75.40878     0.00000     0.00000     0.00000     0.00000
   -75.39878     0.00000     0.00000     0.00000     0.00000
   -75.38778     0.00000     0.00000     0.00000     0.00000
   -75.37678     0.00000     0.00000     0.00000     0.00000
   -75.36578     0.00000     0.00000     0.00000     0.00000
   -75.35578     0.00000     0.00000     0.00000     0.00000
   -75.34478     0.00000     0.00000     0.00000     0.00000
   -75.33378     0.00000     0.00000     0.00000     0.00000
   -75.32278     0.00000     0.00000     0.00000     0.00000
   -75.31278     0.00000     0.00000     0.00000     0.00000
   -75.30178     0.00000     0.00000     0.00000     0.00000
   -75.29078     0.00000     0.00000     0.00000     0.00000
   -75.27978     0.00000     0.00000     0.00000     0.00000
   -75.26978     0.00000     0.00000     0.00000     0.00000
   -75.25878     0.00000     0.00000     0.00000     0.00000
   -75.24778     0.00000     0.00000     0.00000     0.00000
   -75.23678     0.00000     0.00000     0.00000     0.00000
   -75.22678     0.00000     0.00000     0.00000     0.00000
   -75.21578     0.00000     0.00000     0.00000     0.00000
   -75.20478     0.00000     0.00000     0.00000     0.00000
   -75.19378     0.00000     0.00000     0.00000     0.00000
   -75.18378     0.00000     0.00000     0.00000     0.00000
   -75.17278     0.00000     0.00000     0.00000     0.00000
   -75.16178     0.00000     0.00000     0.00000     0.00000
   -75.15078     0.00000     0.00000     0.00000     0.00000
   -75.14078     0.00000     0.00000     0.00000     0.00000
   -75.12978     0.00000     0.00000     0.00000     0.00000
   -75.11878     0.00000     0.00000     0.00000     0.00000
   -75.10778     0.00000     0.00000     0.00000     0.00000
   -75.09778     0.00000     0.00000     0.00000     0.00000
   -75.08678     0.00000     0.00000     0.00000     0.00000
   -75.07578     0.00000     0.00000     0.00000     0.00000
   -75.06478     0.00000     0.00000     0.00000     0.00000
   -75.05478     0.00000     0.00000     0.00000     0.00000
   -75.04378     0.00000     0.00000     0.00000     0.00000
   -75.03278     0.00000     0.00000     0.00000     0.00000
   -75.02178     0.00000     0.00000     0.00000     0.00000
   -75.01178     0.00000     0.00000     0.00000     0.00000
   -75.00078     0.00000     0.00000     0.00000     0.00000
   -74.98978     0.00000     0.00000     0.00000     0.00000
   -74.97878     0.00000     0.00000     0.00000     0.00000
