     #Energy       W_all      Mo_all      Ti_all      Pd_all
   -74.10202     0.00000     0.00000     0.00000     0.00000
   -74.09202     0.00000     0.00000     0.00000     0.00000
   -74.08102     0.00000     0.00000     0.00000     0.00000
   -74.07002     0.00000     0.00000     0.00000     0.00000
   -74.06002     0.00000     0.00000     0.00000     0.00000
   -74.04902     0.00000     0.00000     0.00000     0.00000
   -74.03902     0.00000     0.00000     0.00000     0.00000
   -74.02802     0.00000     0.00000     0.00000     0.00000
   -74.01802     0.00000     0.00000     0.00000     0.00000
   -74.00702     0.00000     0.00000     0.00000     0.00000
   -73.99602     0.00000     0.00000     0.00000     0.00000
   -73.98602     0.00000     0.00000     0.00000     0.00000
   -73.97502     0.00000     0.00000     0.00000     0.00000
   -73.96502     0.00000     0.00000     0.00000     0.00000
   -73.95402     0.00000     0.00000     0.00000     0.00000
   -73.94302   188.26121     0.00811     0.00003     0.00010
   -73.93302   188.25600     0.00611     0.00004     0.00109
   -73.92202     0.00000     0.00000     0.00000     0.00000
   -73.91202     0.00000     0.00000     0.00000     0.00000
   -73.90102   188.31814     0.00796     0.00005     0.00014
   -73.89002   188.30848     0.00359     0.00014     0.00011
   -73.88002     0.00000     0.00000     0.00000     0.00000
   -73.86902     0.00000     0.00000     0.00000     0.00000
   -73.85902   188.31013     0.00556     0.00023     0.00004
   -73.84802     0.00000     0.00000     0.00000     0.00000
   -73.83702   188.39002     0.00793     0.00042     0.00002
   -73.82702     0.00000     0.00000     0.00000     0.00000
   -73.81602     0.00000     0.00000     0.00000     0.00000
   -73.80602   565.02458     0.01995     0.00209     0.00225
   -73.79502     0.00000     0.00000     0.00000     0.00000
   -73.78402   188.26587     0.00660     0.00053     0.00296
   -73.77402   188.35039     0.00688     0.00118     0.00128
   -73.76302     0.00000     0.00000     0.00000     0.00000
   -73.75302   188.27847     0.00416     0.00062     0.00119
   -73.74202   188.37408     0.00374     0.00078     0.00176
   -73.73102     0.00000     0.00000     0.00000     0.00000
   -73.72102     0.00000     0.00000     0.00000     0.00000
   -73.71002   188.29301     0.00515     0.00081     0.00006
   -73.70002     0.00000     0.00000     0.00000     0.00000
   -73.68902     0.00000     0.00000     0.00000     0.00000
   -73.67802   188.33959     0.00691     0.00096     0.00005
   -73.66802   188.39480     0.00542     0.00067     0.00005
   -73.65702   188.34703     0.00699     0.00103     0.00005
   -73.64702     0.00000     0.00000     0.00000     0.00000
   -73.63602     0.00000     0.00000     0.00000     0.00000
   -73.62602   188.43518     0.00496     0.00106     0.00002
   -73.61502     0.00000     0.00000     0.00000     0.00000
   -73.60402   188.34386     0.00584     0.00196     0.00160
   -73.59402     0.00000     0.00000     0.00000     0.00000
   -73.58302     0.00000     0.00000     0.00000     0.00000
   -73.57302     0.00000     0.00000     0.00000     0.00000
   -73.56202     0.00000     0.00000     0.00000     0.00000
   -73.55102     0.00000     0.00000     0.00000     0.00000
   -73.54102   188.39896     0.00432     0.00134     0.00002
   -73.53002     0.00000     0.00000     0.00000     0.00000
   -73.52002     0.00000     0.00000     0.00000     0.00000
   -73.50902     0.00000     0.00000     0.00000     0.00000
   -73.49802   188.31814     0.00244     0.00220     0.00006
   -73.48802     0.00000     0.00000     0.00000     0.00000
   -73.47702     0.00000     0.00000     0.00000     0.00000
   -73.46702     0.00000     0.00000     0.00000     0.00000
   -73.45602     0.00000     0.00000     0.00000     0.00000
   -73.44502     0.00000     0.00000     0.00000     0.00000
   -73.43502     0.00000     0.00000     0.00000     0.00000
   -73.42402     0.00000     0.00000     0.00000     0.00000
   -73.41402     0.00000     0.00000     0.00000     0.00000
   -73.40302     0.00000     0.00000     0.00000     0.00000
   -73.39202     0.00000     0.00000     0.00000     0.00000
   -73.38202     0.00000     0.00000     0.00000     0.00000
   -73.37102     0.00000     0.00000     0.00000     0.00000
   -73.36102     0.00000     0.00000     0.00000     0.00000
   -73.35002     0.00000     0.00000     0.00000     0.00000
   -73.33902     0.00000     0.00000     0.00000     0.00000
   -73.32902     0.00000     0.00000     0.00000     0.00000
   -73.31802     0.00000     0.00000     0.00000     0.00000
   -73.30802     0.00000     0.00000     0.00000     0.00000
   -73.29702     0.00000     0.00000     0.00000     0.00000
