     #Energy       W_all      Mo_all      Pt_all      Hf_all
   -73.66972     0.00000     0.00000     0.00000     0.00000
   -73.65872     0.00000     0.00000     0.00000     0.00000
   -73.64772     0.00000     0.00000     0.00000     0.00000
   -73.63672     0.00000     0.00000     0.00000     0.00000
   -73.62572     0.00000     0.00000     0.00000     0.00000
   -73.61472     0.00000     0.00000     0.00000     0.00000
   -73.60372     0.00000     0.00000     0.00000     0.00000
   -73.59272     0.00000     0.00000     0.00000     0.00000
   -73.58172     0.00000     0.00000     0.00000     0.00000
   -73.57072     0.00000     0.00000     0.00000     0.00000
   -73.55972     0.00000     0.00000     0.00000     0.00000
   -73.54872     0.00000     0.00000     0.00000     0.00000
   -73.53772     0.00000     0.00000     0.00000     0.00000
   -73.52672     0.00000     0.00000     0.00000     0.00000
   -73.51572     0.00000     0.00000     0.00000     0.00000
   -73.50472     0.00000     0.00000     0.00000     0.00000
   -73.49372     0.00000     0.00000     0.00000     0.00000
   -73.48272     0.00000     0.00000     0.00000     0.00000
   -73.47172     0.00000     0.00000     0.00000     0.00000
   -73.46072     0.00000     0.00000     0.00000     0.00000
   -73.44972     0.00000     0.00000     0.00000     0.00000
   -73.43872     0.00000     0.00000     0.00000     0.00000
   -73.42772     0.00000     0.00000     0.00000     0.00000
   -73.41672     0.00000     0.00000     0.00000     0.00000
   -73.40572     0.00000     0.00000     0.00000     0.00000
   -73.39472     0.00000     0.00000     0.00000     0.00000
   -73.38372     0.00000     0.00000     0.00000     0.00000
   -73.37272     0.00000     0.00000     0.00000     0.00000
   -73.36172     0.00000     0.00000     0.00000     0.00000
   -73.35072     0.00000     0.00000     0.00000     0.00000
   -73.33972     0.00000     0.00000     0.00000     0.00000
   -73.32872     0.00000     0.00000     0.00000     0.00000
   -73.31772     0.00000     0.00000     0.00000     0.00000
   -73.30672     0.00000     0.00000     0.00000     0.00000
   -73.29572     0.00000     0.00000     0.00000     0.00000
   -73.28472     0.00000     0.00000     0.00000     0.00000
   -73.27372     0.00000     0.00000     0.00000     0.00000
   -73.26272     0.00000     0.00000     0.00000     0.00000
   -73.25172     0.00000     0.00000     0.00000     0.00000
   -73.24072     0.00000     0.00000     0.00000     0.00000
   -73.22972     0.00000     0.00000     0.00000     0.00000
   -73.21872     0.00000     0.00000     0.00000     0.00000
   -73.20772     0.00000     0.00000     0.00000     0.00000
   -73.19672     0.00000     0.00000     0.00000     0.00000
   -73.18572     0.00000     0.00000     0.00000     0.00000
   -73.17472     0.00000     0.00000     0.00000     0.00000
   -73.16472     0.00000     0.00000     0.00000     0.00000
   -73.15372     0.00000     0.00000     0.00000     0.00000
   -73.14272     0.00000     0.00000     0.00000     0.00000
   -73.13172     0.00000     0.00000     0.00000     0.00000
   -73.12072     0.00000     0.00000     0.00000     0.00000
   -73.10972     0.00000     0.00000     0.00000     0.00000
   -73.09872     0.00000     0.00000     0.00000     0.00000
   -73.08772     0.00000     0.00000     0.00000     0.00000
   -73.07672     0.00000     0.00000     0.00000     0.00000
   -73.06572     0.00000     0.00000     0.00000     0.00000
   -73.05472     0.00000     0.00000     0.00000     0.00000
   -73.04372     0.00000     0.00000     0.00000     0.00000
   -73.03272     0.00000     0.00000     0.00000     0.00000
   -73.02172     0.00000     0.00000     0.00000     0.00000
   -73.01072     0.00000     0.00000     0.00000     0.00000
   -72.99972     0.00000     0.00000     0.00000     0.00000
   -72.98872     0.00000     0.00000     0.00000     0.00000
   -72.97772     0.00000     0.00000     0.00000     0.00000
   -72.96672     0.00000     0.00000     0.00000     0.00000
   -72.95572     0.00000     0.00000     0.00000     0.00000
   -72.94472     0.00000     0.00000     0.00000     0.00000
   -72.93372     0.00000     0.00000     0.00000     0.00000
   -72.92272     0.00000     0.00000     0.00000     0.00000
   -72.91172     0.00000     0.00000     0.00000     0.00000
   -72.90072     0.00000     0.00000     0.00000     0.00000
   -72.88972     0.00000     0.00000     0.00000     0.00000
   -72.87872     0.00000     0.00000     0.00000     0.00000
   -72.86772     0.00000     0.00000     0.00000     0.00000
   -72.85672     0.00000     0.00000     0.00000     0.00000
   -72.84572     0.00000     0.00000     0.00000     0.00000
   -72.83472     0.00000     0.00000     0.00000     0.00000
   -72.82372     0.00000     0.00000     0.00000     0.00000
   -72.81272     0.00000     0.00000     0.00000     0.00000
   -72.80172     0.00000     0.00000     0.00000     0.00000
   -72.79072     0.00000     0.00000     0.00000     0.00000
   -72.77972     0.00000     0.00000     0.00000     0.00000
   -72.76872     0.00000     0.00000     0.00000     0.00000
   -72.75772     0.00000     0.00000     0.00000     0.00000
   -72.74672     0.00000     0.00000     0.00000     0.00000
   -72.73572     0.00000     0.00000     0.00000     0.00000
   -72.72472     0.00000     0.00000     0.00000     0.00000
   -72.71372     0.00000     0.00000     0.00000     0.00000
   -72.70272     0.00000     0.00000     0.00000     0.00000
   -72.69172     0.00000     0.00000     0.00000     0.00000
   -72.68072     0.00000     0.00000     0.00000     0.00000
   -72.66972     0.00000     0.00000     0.00000     0.00000
   -72.65872     0.00000     0.00000     0.00000     0.00000
   -72.64772     0.00000     0.00000     0.00000     0.00000
   -72.63672     0.00000     0.00000     0.00000     0.00000
   -72.62672     0.00000     0.00000     0.00000     0.00000
   -72.61572     0.00000     0.00000     0.00000     0.00000
   -72.60472     0.00000     0.00000     0.00000     0.00000
   -72.59372     0.00000     0.00000     0.00000     0.00000
   -72.58272     0.00000     0.00000     0.00000     0.00000
   -72.57172     0.00000     0.00000     0.00000     0.00000
   -72.56072     0.00000     0.00000     0.00000     0.00000
   -72.54972     0.00000     0.00000     0.00000     0.00000
   -72.53872     0.00000     0.00000     0.00000     0.00000
   -72.52772     0.00000     0.00000     0.00000     0.00000
   -72.51672     0.00000     0.00000     0.00000     0.00000
   -72.50572     0.00000     0.00000     0.00000     0.00000
   -72.49472     0.00000     0.00000     0.00000     0.00000
   -72.48372     0.00000     0.00000     0.00000     0.00000
