     #Energy       W_all      Mo_all      Pt_all
   -74.89316     0.00000     0.00000     0.00000
   -74.88216     0.00000     0.00000     0.00000
   -74.87216     0.00000     0.00000     0.00000
   -74.86116     0.00000     0.00000     0.00000
   -74.85016     0.00000     0.00000     0.00000
   -74.84016     0.00000     0.00000     0.00000
   -74.82916     0.00000     0.00000     0.00000
   -74.81816     0.00000     0.00000     0.00000
   -74.80716     0.00000     0.00000     0.00000
   -74.79716     0.00000     0.00000     0.00000
   -74.78616     0.00000     0.00000     0.00000
   -74.77516     0.00000     0.00000     0.00000
   -74.76516     0.00000     0.00000     0.00000
   -74.75416     0.00000     0.00000     0.00000
   -74.74316     0.00000     0.00000     0.00000
   -74.73316     0.00000     0.00000     0.00000
   -74.72216     0.00000     0.00000     0.00000
   -74.71116     0.00000     0.00000     0.00000
   -74.70116     0.00000     0.00000     0.00000
   -74.69016     0.00000     0.00000     0.00000
   -74.67916     0.00000     0.00000     0.00000
   -74.66916     0.00000     0.00000     0.00000
   -74.65816     0.00000     0.00000     0.00000
   -74.64716     0.00000     0.00000     0.00000
   -74.63616     0.00000     0.00000     0.00000
   -74.62616     0.00000     0.00000     0.00000
   -74.61516     0.00000     0.00000     0.00000
   -74.60416     0.00000     0.00000     0.00000
   -74.59416     0.00000     0.00000     0.00000
   -74.58316     0.00000     0.00000     0.00000
   -74.57216     0.00000     0.00000     0.00000
   -74.56216     0.00000     0.00000     0.00000
   -74.55116     0.00000     0.00000     0.00000
   -74.54016     0.00000     0.00000     0.00000
   -74.53016     0.00000     0.00000     0.00000
   -74.51916     0.00000     0.00000     0.00000
   -74.50816     0.00000     0.00000     0.00000
   -74.49816     0.00000     0.00000     0.00000
   -74.48716     0.00000     0.00000     0.00000
   -74.47616     0.00000     0.00000     0.00000
   -74.46516     0.00000     0.00000     0.00000
   -74.45516     0.00000     0.00000     0.00000
   -74.44416     0.00000     0.00000     0.00000
   -74.43316     0.00000     0.00000     0.00000
   -74.42316     0.00000     0.00000     0.00000
   -74.41216     0.00000     0.00000     0.00000
   -74.40116     0.00000     0.00000     0.00000
   -74.39116   186.62408     0.00244     0.00736
   -74.38016     0.00000     0.00000     0.00000
   -74.36916     0.00000     0.00000     0.00000
   -74.35916     0.00000     0.00000     0.00000
   -74.34816     0.00000     0.00000     0.00000
   -74.33716     0.00000     0.00000     0.00000
   -74.32716     0.00000     0.00000     0.00000
   -74.31616     0.00000     0.00000     0.00000
   -74.30516     0.00000     0.00000     0.00000
   -74.29416     0.00000     0.00000     0.00000
   -74.28416     0.00000     0.00000     0.00000
   -74.27316     0.00000     0.00000     0.00000
   -74.26216     0.00000     0.00000     0.00000
   -74.25216     0.00000     0.00000     0.00000
   -74.24116     0.00000     0.00000     0.00000
   -74.23016     0.00000     0.00000     0.00000
   -74.22016     0.00000     0.00000     0.00000
   -74.20916     0.00000     0.00000     0.00000
   -74.19816     0.00000     0.00000     0.00000
   -74.18816   186.63426     0.00518     0.00434
   -74.17716     0.00000     0.00000     0.00000
   -74.16616     0.00000     0.00000     0.00000
   -74.15616   186.58099     0.00430     0.00467
   -74.14516     0.00000     0.00000     0.00000
   -74.13416     0.00000     0.00000     0.00000
   -74.12316     0.00000     0.00000     0.00000
   -74.11316     0.00000     0.00000     0.00000
   -74.10216   373.19209     0.01144     0.00779
   -74.09116   186.68011     0.00381     0.00391
   -74.08116     0.00000     0.00000     0.00000
   -74.07016   186.67267     0.00343     0.00272
   -74.05916  1433.54318     0.05454     0.02186
   -74.04916   231.59538     0.00930     0.00297
