     #Energy       W_all      Mo_all      Pd_all      Zr_all
   -76.44035     0.00000     0.00000     0.00000     0.00000
   -76.42935     0.00000     0.00000     0.00000     0.00000
   -76.41835     0.00000     0.00000     0.00000     0.00000
   -76.40735     0.00000     0.00000     0.00000     0.00000
   -76.39735     0.00000     0.00000     0.00000     0.00000
   -76.38635     0.00000     0.00000     0.00000     0.00000
   -76.37535     0.00000     0.00000     0.00000     0.00000
   -76.36435     0.00000     0.00000     0.00000     0.00000
   -76.35335     0.00000     0.00000     0.00000     0.00000
   -76.34235     0.00000     0.00000     0.00000     0.00000
   -76.33135     0.00000     0.00000     0.00000     0.00000
   -76.32035     0.00000     0.00000     0.00000     0.00000
   -76.31035     0.00000     0.00000     0.00000     0.00000
   -76.29935     0.00000     0.00000     0.00000     0.00000
   -76.28835     0.00000     0.00000     0.00000     0.00000
   -76.27735     0.00000     0.00000     0.00000     0.00000
   -76.26635     0.00000     0.00000     0.00000     0.00000
   -76.25535     0.00000     0.00000     0.00000     0.00000
   -76.24435     0.00000     0.00000     0.00000     0.00000
   -76.23335     0.00000     0.00000     0.00000     0.00000
   -76.22235     0.00000     0.00000     0.00000     0.00000
   -76.21235     0.00000     0.00000     0.00000     0.00000
   -76.20135     0.00000     0.00000     0.00000     0.00000
   -76.19035     0.00000     0.00000     0.00000     0.00000
   -76.17935     0.00000     0.00000     0.00000     0.00000
   -76.16835     0.00000     0.00000     0.00000     0.00000
   -76.15735     0.00000     0.00000     0.00000     0.00000
   -76.14635     0.00000     0.00000     0.00000     0.00000
   -76.13535     0.00000     0.00000     0.00000     0.00000
   -76.12535     0.00000     0.00000     0.00000     0.00000
   -76.11435     0.00000     0.00000     0.00000     0.00000
   -76.10335     0.00000     0.00000     0.00000     0.00000
   -76.09235     0.00000     0.00000     0.00000     0.00000
   -76.08135     0.00000     0.00000     0.00000     0.00000
   -76.07035     0.00000     0.00000     0.00000     0.00000
   -76.05935     0.00000     0.00000     0.00000     0.00000
   -76.04835     0.00000     0.00000     0.00000     0.00000
   -76.03735     0.00000     0.00000     0.00000     0.00000
   -76.02735     0.00000     0.00000     0.00000     0.00000
   -76.01635     0.00000     0.00000     0.00000     0.00000
   -76.00535     0.00000     0.00000     0.00000     0.00000
