     #Energy       W_all      Mo_all      Ti_all      Pt_all
   -73.36179     0.00000     0.00000     0.00000     0.00000
   -73.35079     0.00000     0.00000     0.00000     0.00000
   -73.34079     0.00000     0.00000     0.00000     0.00000
   -73.32979     0.00000     0.00000     0.00000     0.00000
   -73.31879     0.00000     0.00000     0.00000     0.00000
   -73.30879     0.00000     0.00000     0.00000     0.00000
   -73.29779     0.00000     0.00000     0.00000     0.00000
   -73.28679     0.00000     0.00000     0.00000     0.00000
   -73.27679     0.00000     0.00000     0.00000     0.00000
   -73.26579     0.00000     0.00000     0.00000     0.00000
   -73.25479     0.00000     0.00000     0.00000     0.00000
   -73.24479     0.00000     0.00000     0.00000     0.00000
   -73.23379     0.00000     0.00000     0.00000     0.00000
   -73.22379     0.00000     0.00000     0.00000     0.00000
   -73.21279     0.00000     0.00000     0.00000     0.00000
   -73.20179     0.00000     0.00000     0.00000     0.00000
   -73.19179     0.00000     0.00000     0.00000     0.00000
   -73.18079     0.00000     0.00000     0.00000     0.00000
   -73.16979     0.00000     0.00000     0.00000     0.00000
   -73.15979     0.00000     0.00000     0.00000     0.00000
   -73.14879     0.00000     0.00000     0.00000     0.00000
   -73.13779     0.00000     0.00000     0.00000     0.00000
   -73.12779     0.00000     0.00000     0.00000     0.00000
   -73.11679     0.00000     0.00000     0.00000     0.00000
   -73.10579     0.00000     0.00000     0.00000     0.00000
   -73.09579     0.00000     0.00000     0.00000     0.00000
   -73.08479     0.00000     0.00000     0.00000     0.00000
   -73.07379     0.00000     0.00000     0.00000     0.00000
   -73.06379     0.00000     0.00000     0.00000     0.00000
   -73.05279     0.00000     0.00000     0.00000     0.00000
   -73.04179     0.00000     0.00000     0.00000     0.00000
   -73.03179     0.00000     0.00000     0.00000     0.00000
   -73.02079     0.00000     0.00000     0.00000     0.00000
   -73.01079     0.00000     0.00000     0.00000     0.00000
   -72.99979     0.00000     0.00000     0.00000     0.00000
   -72.98879     0.00000     0.00000     0.00000     0.00000
   -72.97879     0.00000     0.00000     0.00000     0.00000
   -72.96779     0.00000     0.00000     0.00000     0.00000
   -72.95679     0.00000     0.00000     0.00000     0.00000
   -72.94679     0.00000     0.00000     0.00000     0.00000
   -72.93579     0.00000     0.00000     0.00000     0.00000
   -72.92479     0.00000     0.00000     0.00000     0.00000
   -72.91479     0.00000     0.00000     0.00000     0.00000
   -72.90379     0.00000     0.00000     0.00000     0.00000
   -72.89279     0.00000     0.00000     0.00000     0.00000
   -72.88279     0.00000     0.00000     0.00000     0.00000
   -72.87179     0.00000     0.00000     0.00000     0.00000
   -72.86079     0.00000     0.00000     0.00000     0.00000
   -72.85079     0.00000     0.00000     0.00000     0.00000
   -72.83979     0.00000     0.00000     0.00000     0.00000
   -72.82879     0.00000     0.00000     0.00000     0.00000
   -72.81879     0.00000     0.00000     0.00000     0.00000
   -72.80779     0.00000     0.00000     0.00000     0.00000
   -72.79779     0.00000     0.00000     0.00000     0.00000
   -72.78679     0.00000     0.00000     0.00000     0.00000
   -72.77579     0.00000     0.00000     0.00000     0.00000
   -72.76579     0.00000     0.00000     0.00000     0.00000
   -72.75479     0.00000     0.00000     0.00000     0.00000
   -72.74379     0.00000     0.00000     0.00000     0.00000
   -72.73379     0.00000     0.00000     0.00000     0.00000
   -72.72279     0.00000     0.00000     0.00000     0.00000
   -72.71179     0.00000     0.00000     0.00000     0.00000
   -72.70179     0.00000     0.00000     0.00000     0.00000
   -72.69079     0.00000     0.00000     0.00000     0.00000
   -72.67979     0.00000     0.00000     0.00000     0.00000
   -72.66979     0.00000     0.00000     0.00000     0.00000
   -72.65879     0.00000     0.00000     0.00000     0.00000
   -72.64779     0.00000     0.00000     0.00000     0.00000
   -72.63779     0.00000     0.00000     0.00000     0.00000
   -72.62679     0.00000     0.00000     0.00000     0.00000
   -72.61579     0.00000     0.00000     0.00000     0.00000
   -72.60579     0.00000     0.00000     0.00000     0.00000
   -72.59479     0.00000     0.00000     0.00000     0.00000
