     #Energy        Hf_s        Mo_s       Hf_py       Mo_py       Hf_pz       Mo_pz       Hf_px       Mo_px      Hf_dxy      Mo_dxy      Hf_dyz      Mo_dyz      Hf_dz2      Mo_dz2      Hf_dxz      Mo_dxz      Hf_dx2      Mo_dx2
   -34.74523     0.00988     0.01041     0.06703    27.76670     0.08096    26.77710     0.08600    29.43770     0.00490     0.00942     0.00473     0.01055     0.00217     0.00118     0.00555     0.00974     0.00226     0.00141
   -34.51123     0.01201     0.00935     0.10577    31.63050     0.10586    34.26180     0.09485    29.80270     0.00720     0.00835     0.00710     0.00666     0.00238     0.00133     0.00666     0.00640     0.00169     0.00126
   -34.27723     0.01730     0.00762     0.19028    46.84300     0.15983    45.72050     0.19126    47.06830     0.01687     0.00772     0.01417     0.00766     0.00176     0.00148     0.01463     0.00663     0.00159     0.00123
   -34.04323     0.01358     0.01029     0.13813    44.90880     0.16161    44.31070     0.14682    45.01850     0.01313     0.01294     0.01471     0.01386     0.00095     0.00077     0.01501     0.01440     0.00106     0.00065
   -33.80923    -0.00012     0.00004    -0.00096    -0.28108    -0.00165     0.08427    -0.00133    -0.02166    -0.00007     0.00002    -0.00013    -0.00006     0.00000    -0.00000    -0.00015    -0.00008    -0.00001    -0.00001
   -33.57523    -0.00000    -0.00000    -0.00000    -0.00104    -0.00000    -0.00157    -0.00000    -0.00142    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -33.34123    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -33.10723     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -32.87323     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -32.63923     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
