     #Energy        Nb_s        Ti_s       Nb_py       Ti_py       Nb_pz       Ti_pz       Nb_px       Ti_px      Nb_dxy      Ti_dxy      Nb_dyz      Ti_dyz      Nb_dz2      Ti_dz2      Nb_dxz      Ti_dxz      Nb_dx2      Ti_dx2
   -54.12058    81.25000     0.03108     0.00107     0.00066     0.00109     0.00069     0.00108     0.00067     0.00036     0.00031     0.00039     0.00033     0.00001     0.00002     0.00035     0.00033     0.00001     0.00002
   -53.90358    85.18740     0.02160     0.00100     0.00064     0.00101     0.00062     0.00095     0.00065     0.00037     0.00044     0.00037     0.00042     0.00001     0.00002     0.00039     0.00043     0.00001     0.00002
   -53.68758    -0.53053     0.00006    -0.00001    -0.00000    -0.00001     0.00000    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -53.47058    -0.00406    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -53.25458    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -53.03758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -52.82158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -52.60458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -52.38758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -52.17158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -51.95458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
