     #Energy        Ta_s        Ti_s       Ta_py       Ti_py       Ta_pz       Ti_pz       Ta_px       Ti_px      Ta_dxy      Ti_dxy      Ta_dyz      Ti_dyz      Ta_dz2      Ti_dz2      Ta_dxz      Ti_dxz      Ta_dx2      Ti_dx2
   -36.30980     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.09280     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.87580     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.65880     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.44180     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.22480     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.00780    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -34.79080    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -34.57380    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -34.35680    -0.00001    -0.00000    -0.02623    -0.00044    -0.02963    -0.00034    -0.02613    -0.00041    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00001    -0.00000    -0.00000    -0.00000
   -34.13980     0.00147     0.00033     2.85711     0.04441     3.03917     0.03255     2.93508     0.03923     0.00062     0.00017     0.00055     0.00015     0.00022     0.00005     0.00066     0.00014     0.00019     0.00009
   -33.92280     0.01480     0.00678    31.49580     0.63425    31.77650     0.63197    30.97750     0.61538     0.00719     0.00211     0.00863     0.00219     0.00221     0.00093     0.00888     0.00221     0.00234     0.00095
   -33.70580     0.01384     0.01036    34.47740     1.47694    34.72000     1.64220    35.78370     1.37952     0.01091     0.00368     0.00945     0.00426     0.00219     0.00084     0.00860     0.00414     0.00249     0.00068
   -33.48880     0.01549     0.00870    44.37300     1.78212    42.95510     1.59342    41.44800     1.99451     0.01401     0.00690     0.01338     0.00567     0.00157     0.00073     0.01393     0.00616     0.00151     0.00070
   -33.27180     0.01243     0.00360    31.11040     1.11333    32.19030     1.29918    33.44530     1.26546     0.01122     0.00273     0.01320     0.00273     0.00064     0.00025     0.01281     0.00302     0.00054     0.00033
   -33.05480     0.00360     0.00054    12.76771    -0.15575    12.39814    -0.09165    12.43309    -0.09812     0.00391     0.00065     0.00312     0.00051     0.00008     0.00004     0.00413     0.00056     0.00010     0.00004
   -32.83680     0.00289     0.00340     0.66999    25.52810     0.65095    23.31280     0.56428    22.83580     0.00189     0.00126     0.00197     0.00160     0.00089     0.00028     0.00172     0.00163     0.00087     0.00032
   -32.61980     0.01216     0.00519     2.54986    62.95730     2.56669    68.39500     2.62369    64.89360     0.01141     0.00360     0.01035     0.00369     0.00132     0.00056     0.01054     0.00347     0.00123     0.00052
   -32.40280     0.00910     0.00253     2.43802    70.93400     2.44799    67.52200     2.52662    71.43300     0.01059     0.00196     0.01079     0.00217     0.00074     0.00045     0.01117     0.00215     0.00080     0.00026
   -32.18580    -0.00016    -0.00004    -0.04150    -1.23999    -0.04160    -1.26148    -0.04280    -1.27761    -0.00019    -0.00003    -0.00020    -0.00004    -0.00001    -0.00001    -0.00020    -0.00003    -0.00001    -0.00001
   -31.96880    -0.00000    -0.00000    -0.00006    -0.00152    -0.00005    -0.00131    -0.00006    -0.00152    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -31.75180    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -31.53480     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -31.31780     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -31.10080     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -30.88380     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -30.66680     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
