     #Energy        Cr_s        Ta_s       Cr_py       Ta_py       Cr_pz       Ta_pz       Cr_px       Ta_px      Cr_dxy      Ta_dxy      Cr_dyz      Ta_dyz      Cr_dz2      Ta_dz2      Cr_dxz      Ta_dxz      Cr_dx2      Ta_dx2
   -34.28010     0.00090     0.00180     0.00206     2.44198     0.00128     2.48280     0.00139     2.68696     0.00032     0.00124     0.00046     0.00091     0.00017     0.00037     0.00024     0.00085     0.00028     0.00030
   -34.11510     0.00892     0.01280     0.01337    16.39170     0.01184    16.18640     0.01233    14.49540     0.00358     0.00720     0.00371     0.00510     0.00178     0.00259     0.00331     0.00701     0.00193     0.00240
   -33.94910     0.01777     0.01526     0.02319    24.41580     0.02704    24.04650     0.02706    24.66980     0.00696     0.01088     0.00743     0.00903     0.00199     0.00315     0.00776     0.01377     0.00199     0.00283
   -33.78410     0.02719     0.01849     0.03466    26.29670     0.03379    29.98110     0.04220    34.90840     0.01184     0.01030     0.00991     0.01112     0.00198     0.00479     0.01079     0.00919     0.00209     0.00433
   -33.61810     0.02485     0.01585     0.04497    40.76820     0.04795    36.91110     0.03898    40.07220     0.01758     0.00926     0.01910     0.01353     0.00198     0.00515     0.01910     0.00804     0.00194     0.00566
   -33.45310     0.01446     0.01598     0.03107    41.65160     0.02915    40.44800     0.02730    25.73070     0.01571     0.01701     0.01722     0.01496     0.00176     0.00339     0.01514     0.01531     0.00152     0.00377
   -33.28710     0.01082     0.01373     0.02003    28.02060     0.02093    28.53330     0.02197    33.38200     0.01155     0.01538     0.01052     0.01308     0.00124     0.00210     0.01185     0.01651     0.00100     0.00263
   -33.12210     0.00491     0.00691     0.00904    17.99124     0.01005    19.17170     0.00990    21.84900     0.00580     0.00760     0.00564     0.00622     0.00062     0.00093     0.00638     0.00795     0.00044     0.00119
   -32.95610     0.00187     0.00488     0.00356    12.45010     0.00301    13.81821     0.00353    14.02377     0.00207     0.00538     0.00200     0.00680     0.00021     0.00038     0.00170     0.00627     0.00023     0.00053
   -32.79110     0.00013     0.00106     0.00024     2.85599     0.00025     1.65734     0.00019     1.40672     0.00010     0.00138     0.00014     0.00080     0.00003     0.00007     0.00013     0.00097     0.00003     0.00008
   -32.62510    -0.00001    -0.00005    -0.00001    -0.12199    -0.00001    -0.07818    -0.00001    -0.07225    -0.00001    -0.00006    -0.00001    -0.00004    -0.00000    -0.00000    -0.00001    -0.00004    -0.00000    -0.00000
